group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,crossbeam,128,,,804960.0,ns,17
Batching,crossbeam,128,,,1622335.0,ns,34
Batching,crossbeam,128,,,2470798.0,ns,51
Batching,crossbeam,128,,,3212513.0,ns,68
Batching,crossbeam,128,,,3953178.0,ns,85
Batching,crossbeam,128,,,4843742.0,ns,102
Batching,crossbeam,128,,,5583751.0,ns,119
Batching,crossbeam,128,,,6374722.0,ns,136
Batching,crossbeam,128,,,7113007.0,ns,153
Batching,crossbeam,128,,,7576603.0,ns,170
Batching,crossbeam,128,,,8725725.0,ns,187
Batching,crossbeam,128,,,9435006.0,ns,204
Batching,crossbeam,128,,,10316076.0,ns,221
Batching,crossbeam,128,,,11138349.0,ns,238
Batching,crossbeam,128,,,11916323.0,ns,255
Batching,crossbeam,128,,,12546417.0,ns,272
Batching,crossbeam,128,,,12794160.0,ns,289
Batching,crossbeam,128,,,13521304.0,ns,306
Batching,crossbeam,128,,,15126859.0,ns,323
Batching,crossbeam,128,,,15992217.0,ns,340
Batching,crossbeam,128,,,16727516.0,ns,357
Batching,crossbeam,128,,,16956511.0,ns,374
Batching,crossbeam,128,,,17289573.0,ns,391
Batching,crossbeam,128,,,18511942.0,ns,408
Batching,crossbeam,128,,,19733679.0,ns,425
Batching,crossbeam,128,,,20246292.0,ns,442
Batching,crossbeam,128,,,20917993.0,ns,459
Batching,crossbeam,128,,,22079506.0,ns,476
Batching,crossbeam,128,,,22865619.0,ns,493
Batching,crossbeam,128,,,23781036.0,ns,510
Batching,crossbeam,128,,,23790356.0,ns,527
Batching,crossbeam,128,,,24147434.0,ns,544
Batching,crossbeam,128,,,24790147.0,ns,561
Batching,crossbeam,128,,,25518972.0,ns,578
Batching,crossbeam,128,,,26288544.0,ns,595
Batching,crossbeam,128,,,27018173.0,ns,612
Batching,crossbeam,128,,,28489862.0,ns,629
Batching,crossbeam,128,,,28561189.0,ns,646
Batching,crossbeam,128,,,29487838.0,ns,663
Batching,crossbeam,128,,,30634787.0,ns,680
Batching,crossbeam,128,,,32347722.0,ns,697
Batching,crossbeam,128,,,33226388.0,ns,714
Batching,crossbeam,128,,,33937146.0,ns,731
Batching,crossbeam,128,,,34602759.0,ns,748
Batching,crossbeam,128,,,35572198.0,ns,765
Batching,crossbeam,128,,,36238722.0,ns,782
Batching,crossbeam,128,,,36795642.0,ns,799
Batching,crossbeam,128,,,36811421.0,ns,816
Batching,crossbeam,128,,,38215081.0,ns,833
Batching,crossbeam,128,,,39591280.0,ns,850
