group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,crossbeam,128,,,800784.0,ns,18
Batching,crossbeam,128,,,1587200.0,ns,36
Batching,crossbeam,128,,,2383947.0,ns,54
Batching,crossbeam,128,,,3235004.0,ns,72
Batching,crossbeam,128,,,3978483.0,ns,90
Batching,crossbeam,128,,,4763586.0,ns,108
Batching,crossbeam,128,,,5549256.0,ns,126
Batching,crossbeam,128,,,6362799.0,ns,144
Batching,crossbeam,128,,,7145006.0,ns,162
Batching,crossbeam,128,,,7929404.0,ns,180
Batching,crossbeam,128,,,8722508.0,ns,198
Batching,crossbeam,128,,,9512502.0,ns,216
Batching,crossbeam,128,,,10299074.0,ns,234
Batching,crossbeam,128,,,11098266.0,ns,252
Batching,crossbeam,128,,,11899411.0,ns,270
Batching,crossbeam,128,,,12696371.0,ns,288
Batching,crossbeam,128,,,13475025.0,ns,306
Batching,crossbeam,128,,,14278992.0,ns,324
Batching,crossbeam,128,,,15056966.0,ns,342
Batching,crossbeam,128,,,15866127.0,ns,360
Batching,crossbeam,128,,,16642878.0,ns,378
Batching,crossbeam,128,,,17472322.0,ns,396
Batching,crossbeam,128,,,18255448.0,ns,414
Batching,crossbeam,128,,,19045713.0,ns,432
Batching,crossbeam,128,,,19973946.0,ns,450
Batching,crossbeam,128,,,20651653.0,ns,468
Batching,crossbeam,128,,,21418427.0,ns,486
Batching,crossbeam,128,,,22219120.0,ns,504
Batching,crossbeam,128,,,23025861.0,ns,522
Batching,crossbeam,128,,,23796548.0,ns,540
Batching,crossbeam,128,,,24596372.0,ns,558
Batching,crossbeam,128,,,25410390.0,ns,576
Batching,crossbeam,128,,,26193377.0,ns,594
Batching,crossbeam,128,,,26965083.0,ns,612
Batching,crossbeam,128,,,27780651.0,ns,630
Batching,crossbeam,128,,,28573016.0,ns,648
Batching,crossbeam,128,,,29375130.0,ns,666
Batching,crossbeam,128,,,30230731.0,ns,684
Batching,crossbeam,128,,,31002075.0,ns,702
Batching,crossbeam,128,,,31757230.0,ns,720
Batching,crossbeam,128,,,32525275.0,ns,738
Batching,crossbeam,128,,,33406863.0,ns,756
Batching,crossbeam,128,,,34169739.0,ns,774
Batching,crossbeam,128,,,34965534.0,ns,792
Batching,crossbeam,128,,,35706666.0,ns,810
Batching,crossbeam,128,,,36480390.0,ns,828
Batching,crossbeam,128,,,37269900.0,ns,846
Batching,crossbeam,128,,,38116386.0,ns,864
Batching,crossbeam,128,,,38853916.0,ns,882
Batching,crossbeam,128,,,39659779.0,ns,900
