group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,crossbeam,32,,,795935.0,ns,60
Batching,crossbeam,32,,,1562726.0,ns,120
Batching,crossbeam,32,,,2352442.0,ns,180
Batching,crossbeam,32,,,3115350.0,ns,240
Batching,crossbeam,32,,,3879623.0,ns,300
Batching,crossbeam,32,,,4686511.0,ns,360
Batching,crossbeam,32,,,5369717.0,ns,420
Batching,crossbeam,32,,,6054539.0,ns,480
Batching,crossbeam,32,,,6866121.0,ns,540
Batching,crossbeam,32,,,7757070.0,ns,600
Batching,crossbeam,32,,,8503299.0,ns,660
Batching,crossbeam,32,,,9390803.0,ns,720
Batching,crossbeam,32,,,9912351.0,ns,780
Batching,crossbeam,32,,,10858842.0,ns,840
Batching,crossbeam,32,,,11613333.0,ns,900
Batching,crossbeam,32,,,12403336.0,ns,960
Batching,crossbeam,32,,,13251800.0,ns,1020
Batching,crossbeam,32,,,13983308.0,ns,1080
Batching,crossbeam,32,,,14747350.0,ns,1140
Batching,crossbeam,32,,,15456246.0,ns,1200
Batching,crossbeam,32,,,16245461.0,ns,1260
Batching,crossbeam,32,,,17061532.0,ns,1320
Batching,crossbeam,32,,,17700610.0,ns,1380
Batching,crossbeam,32,,,18617611.0,ns,1440
Batching,crossbeam,32,,,18975370.0,ns,1500
Batching,crossbeam,32,,,19873614.0,ns,1560
Batching,crossbeam,32,,,20919919.0,ns,1620
Batching,crossbeam,32,,,21763476.0,ns,1680
Batching,crossbeam,32,,,22586636.0,ns,1740
Batching,crossbeam,32,,,23326900.0,ns,1800
Batching,crossbeam,32,,,24028460.0,ns,1860
Batching,crossbeam,32,,,24723998.0,ns,1920
Batching,crossbeam,32,,,25472302.0,ns,1980
Batching,crossbeam,32,,,26354595.0,ns,2040
Batching,crossbeam,32,,,26942819.0,ns,2100
Batching,crossbeam,32,,,27146034.0,ns,2160
Batching,crossbeam,32,,,27905940.0,ns,2220
Batching,crossbeam,32,,,29169016.0,ns,2280
Batching,crossbeam,32,,,30258752.0,ns,2340
Batching,crossbeam,32,,,30889805.0,ns,2400
Batching,crossbeam,32,,,31724001.0,ns,2460
Batching,crossbeam,32,,,32314217.0,ns,2520
Batching,crossbeam,32,,,33337024.0,ns,2580
Batching,crossbeam,32,,,34081882.0,ns,2640
Batching,crossbeam,32,,,34833575.0,ns,2700
Batching,crossbeam,32,,,35657219.0,ns,2760
Batching,crossbeam,32,,,36312437.0,ns,2820
Batching,crossbeam,32,,,37334520.0,ns,2880
Batching,crossbeam,32,,,37822896.0,ns,2940
Batching,crossbeam,32,,,38872081.0,ns,3000
