group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,flume,4,,,787269.0,ns,687
Batching,flume,4,,,1544706.0,ns,1374
Batching,flume,4,,,2320857.0,ns,2061
Batching,flume,4,,,3102351.0,ns,2748
Batching,flume,4,,,3879790.0,ns,3435
Batching,flume,4,,,4695819.0,ns,4122
Batching,flume,4,,,5437108.0,ns,4809
Batching,flume,4,,,6224148.0,ns,5496
Batching,flume,4,,,7015889.0,ns,6183
Batching,flume,4,,,7791622.0,ns,6870
Batching,flume,4,,,8518888.0,ns,7557
Batching,flume,4,,,9260587.0,ns,8244
Batching,flume,4,,,9897112.0,ns,8931
Batching,flume,4,,,10825329.0,ns,9618
Batching,flume,4,,,11642645.0,ns,10305
Batching,flume,4,,,12449132.0,ns,10992
Batching,flume,4,,,13195795.0,ns,11679
Batching,flume,4,,,14015359.0,ns,12366
Batching,flume,4,,,14732361.0,ns,13053
Batching,flume,4,,,15316399.0,ns,13740
Batching,flume,4,,,16020994.0,ns,14427
Batching,flume,4,,,17052718.0,ns,15114
Batching,flume,4,,,17881866.0,ns,15801
Batching,flume,4,,,18510310.0,ns,16488
Batching,flume,4,,,19386933.0,ns,17175
Batching,flume,4,,,19898159.0,ns,17862
Batching,flume,4,,,20698746.0,ns,18549
Batching,flume,4,,,21113020.0,ns,19236
Batching,flume,4,,,22101215.0,ns,19923
Batching,flume,4,,,22856617.0,ns,20610
Batching,flume,4,,,23955893.0,ns,21297
Batching,flume,4,,,24468144.0,ns,21984
Batching,flume,4,,,25198537.0,ns,22671
Batching,flume,4,,,26101794.0,ns,23358
Batching,flume,4,,,26936316.0,ns,24045
Batching,flume,4,,,27669466.0,ns,24732
Batching,flume,4,,,28467180.0,ns,25419
Batching,flume,4,,,28871535.0,ns,26106
Batching,flume,4,,,29566842.0,ns,26793
Batching,flume,4,,,30948103.0,ns,27480
Batching,flume,4,,,31500936.0,ns,28167
Batching,flume,4,,,32370864.0,ns,28854
Batching,flume,4,,,32420037.0,ns,29541
Batching,flume,4,,,33235556.0,ns,30228
Batching,flume,4,,,34007852.0,ns,30915
Batching,flume,4,,,34968627.0,ns,31602
Batching,flume,4,,,35509342.0,ns,32289
Batching,flume,4,,,36812342.0,ns,32976
Batching,flume,4,,,37737720.0,ns,33663
Batching,flume,4,,,38772479.0,ns,34350
