group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,flume,512,,,812393.0,ns,3
Batching,flume,512,,,1606145.0,ns,6
Batching,flume,512,,,2407723.0,ns,9
Batching,flume,512,,,3209712.0,ns,12
Batching,flume,512,,,4014392.0,ns,15
Batching,flume,512,,,4807134.0,ns,18
Batching,flume,512,,,5593295.0,ns,21
Batching,flume,512,,,6393439.0,ns,24
Batching,flume,512,,,7179247.0,ns,27
Batching,flume,512,,,7997983.0,ns,30
Batching,flume,512,,,8788715.0,ns,33
Batching,flume,512,,,9587831.0,ns,36
Batching,flume,512,,,10377251.0,ns,39
Batching,flume,512,,,11356724.0,ns,42
Batching,flume,512,,,12256608.0,ns,45
Batching,flume,512,,,13042785.0,ns,48
Batching,flume,512,,,13603963.0,ns,51
Batching,flume,512,,,14434736.0,ns,54
Batching,flume,512,,,15488244.0,ns,57
Batching,flume,512,,,16260637.0,ns,60
Batching,flume,512,,,17033645.0,ns,63
Batching,flume,512,,,17923011.0,ns,66
Batching,flume,512,,,18438068.0,ns,69
Batching,flume,512,,,19145739.0,ns,72
Batching,flume,512,,,19954268.0,ns,75
Batching,flume,512,,,20745968.0,ns,78
Batching,flume,512,,,21559682.0,ns,81
Batching,flume,512,,,22375825.0,ns,84
Batching,flume,512,,,23280747.0,ns,87
Batching,flume,512,,,24124803.0,ns,90
Batching,flume,512,,,24850878.0,ns,93
Batching,flume,512,,,25541131.0,ns,96
Batching,flume,512,,,26311702.0,ns,99
Batching,flume,512,,,27105773.0,ns,102
Batching,flume,512,,,27966650.0,ns,105
Batching,flume,512,,,28724784.0,ns,108
Batching,flume,512,,,29595736.0,ns,111
Batching,flume,512,,,30381668.0,ns,114
Batching,flume,512,,,31159583.0,ns,117
Batching,flume,512,,,31970934.0,ns,120
Batching,flume,512,,,32725120.0,ns,123
Batching,flume,512,,,33608890.0,ns,126
Batching,flume,512,,,34394329.0,ns,129
Batching,flume,512,,,35146423.0,ns,132
Batching,flume,512,,,36079439.0,ns,135
Batching,flume,512,,,36846269.0,ns,138
Batching,flume,512,,,37601998.0,ns,141
Batching,flume,512,,,38339782.0,ns,144
Batching,flume,512,,,39247699.0,ns,147
Batching,flume,512,,,39888433.0,ns,150
