group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,flume,8,,,762294.0,ns,409
Batching,flume,8,,,1509465.0,ns,818
Batching,flume,8,,,2299270.0,ns,1227
Batching,flume,8,,,3048641.0,ns,1636
Batching,flume,8,,,3810286.0,ns,2045
Batching,flume,8,,,4596654.0,ns,2454
Batching,flume,8,,,5368145.0,ns,2863
Batching,flume,8,,,6104691.0,ns,3272
Batching,flume,8,,,6810099.0,ns,3681
Batching,flume,8,,,7588006.0,ns,4090
Batching,flume,8,,,8355905.0,ns,4499
Batching,flume,8,,,9184791.0,ns,4908
Batching,flume,8,,,9891265.0,ns,5317
Batching,flume,8,,,10623093.0,ns,5726
Batching,flume,8,,,11407852.0,ns,6135
Batching,flume,8,,,12183257.0,ns,6544
Batching,flume,8,,,12998416.0,ns,6953
Batching,flume,8,,,13748796.0,ns,7362
Batching,flume,8,,,14402922.0,ns,7771
Batching,flume,8,,,15202418.0,ns,8180
Batching,flume,8,,,15919583.0,ns,8589
Batching,flume,8,,,16672162.0,ns,8998
Batching,flume,8,,,17423814.0,ns,9407
Batching,flume,8,,,18241442.0,ns,9816
Batching,flume,8,,,18931859.0,ns,10225
Batching,flume,8,,,19674059.0,ns,10634
Batching,flume,8,,,20610645.0,ns,11043
Batching,flume,8,,,21257599.0,ns,11452
Batching,flume,8,,,22012771.0,ns,11861
Batching,flume,8,,,22753854.0,ns,12270
Batching,flume,8,,,23530761.0,ns,12679
Batching,flume,8,,,24206860.0,ns,13088
Batching,flume,8,,,25093289.0,ns,13497
Batching,flume,8,,,25805277.0,ns,13906
Batching,flume,8,,,26610623.0,ns,14315
Batching,flume,8,,,27344313.0,ns,14724
Batching,flume,8,,,28174930.0,ns,15133
Batching,flume,8,,,28913396.0,ns,15542
Batching,flume,8,,,29872226.0,ns,15951
Batching,flume,8,,,30696510.0,ns,16360
Batching,flume,8,,,31272843.0,ns,16769
Batching,flume,8,,,32249962.0,ns,17178
Batching,flume,8,,,33118347.0,ns,17587
Batching,flume,8,,,33642890.0,ns,17996
Batching,flume,8,,,34340717.0,ns,18405
Batching,flume,8,,,35190107.0,ns,18814
Batching,flume,8,,,36116486.0,ns,19223
Batching,flume,8,,,36826637.0,ns,19632
Batching,flume,8,,,37797060.0,ns,20041
Batching,flume,8,,,38457159.0,ns,20450
