group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap-queue,32,,,776594.0,ns,65
Batching,swap-queue,32,,,1656040.0,ns,130
Batching,swap-queue,32,,,2369661.0,ns,195
Batching,swap-queue,32,,,3151104.0,ns,260
Batching,swap-queue,32,,,3963556.0,ns,325
Batching,swap-queue,32,,,4741980.0,ns,390
Batching,swap-queue,32,,,5600018.0,ns,455
Batching,swap-queue,32,,,6384777.0,ns,520
Batching,swap-queue,32,,,7177290.0,ns,585
Batching,swap-queue,32,,,7975234.0,ns,650
Batching,swap-queue,32,,,8728329.0,ns,715
Batching,swap-queue,32,,,9495471.0,ns,780
Batching,swap-queue,32,,,10227889.0,ns,845
Batching,swap-queue,32,,,11086010.0,ns,910
Batching,swap-queue,32,,,11919137.0,ns,975
Batching,swap-queue,32,,,12697841.0,ns,1040
Batching,swap-queue,32,,,13491084.0,ns,1105
Batching,swap-queue,32,,,13812789.0,ns,1170
Batching,swap-queue,32,,,14649683.0,ns,1235
Batching,swap-queue,32,,,15903797.0,ns,1300
Batching,swap-queue,32,,,16469562.0,ns,1365
Batching,swap-queue,32,,,17459923.0,ns,1430
Batching,swap-queue,32,,,18254192.0,ns,1495
Batching,swap-queue,32,,,19038885.0,ns,1560
Batching,swap-queue,32,,,19512638.0,ns,1625
Batching,swap-queue,32,,,20055011.0,ns,1690
Batching,swap-queue,32,,,21261928.0,ns,1755
Batching,swap-queue,32,,,21863969.0,ns,1820
Batching,swap-queue,32,,,23046863.0,ns,1885
Batching,swap-queue,32,,,23542876.0,ns,1950
Batching,swap-queue,32,,,23768754.0,ns,2015
Batching,swap-queue,32,,,24527946.0,ns,2080
Batching,swap-queue,32,,,25685863.0,ns,2145
Batching,swap-queue,32,,,26726366.0,ns,2210
Batching,swap-queue,32,,,27678263.0,ns,2275
Batching,swap-queue,32,,,28094490.0,ns,2340
Batching,swap-queue,32,,,29155760.0,ns,2405
Batching,swap-queue,32,,,29683223.0,ns,2470
Batching,swap-queue,32,,,30459366.0,ns,2535
Batching,swap-queue,32,,,31431858.0,ns,2600
Batching,swap-queue,32,,,32509399.0,ns,2665
Batching,swap-queue,32,,,33446944.0,ns,2730
Batching,swap-queue,32,,,34297212.0,ns,2795
Batching,swap-queue,32,,,34278119.0,ns,2860
Batching,swap-queue,32,,,35386913.0,ns,2925
Batching,swap-queue,32,,,36616518.0,ns,2990
Batching,swap-queue,32,,,36895549.0,ns,3055
Batching,swap-queue,32,,,37805960.0,ns,3120
Batching,swap-queue,32,,,38951103.0,ns,3185
Batching,swap-queue,32,,,39932110.0,ns,3250
