group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap-queue,4,,,768972.0,ns,757
Batching,swap-queue,4,,,1526220.0,ns,1514
Batching,swap-queue,4,,,2300861.0,ns,2271
Batching,swap-queue,4,,,3074954.0,ns,3028
Batching,swap-queue,4,,,3870108.0,ns,3785
Batching,swap-queue,4,,,4733981.0,ns,4542
Batching,swap-queue,4,,,5385325.0,ns,5299
Batching,swap-queue,4,,,6129329.0,ns,6056
Batching,swap-queue,4,,,6893715.0,ns,6813
Batching,swap-queue,4,,,7704935.0,ns,7570
Batching,swap-queue,4,,,8451023.0,ns,8327
Batching,swap-queue,4,,,9238564.0,ns,9084
Batching,swap-queue,4,,,10069706.0,ns,9841
Batching,swap-queue,4,,,10771438.0,ns,10598
Batching,swap-queue,4,,,11516041.0,ns,11355
Batching,swap-queue,4,,,12269284.0,ns,12112
Batching,swap-queue,4,,,13082425.0,ns,12869
Batching,swap-queue,4,,,13788751.0,ns,13626
Batching,swap-queue,4,,,14664742.0,ns,14383
Batching,swap-queue,4,,,15324168.0,ns,15140
Batching,swap-queue,4,,,16020337.0,ns,15897
Batching,swap-queue,4,,,16763980.0,ns,16654
Batching,swap-queue,4,,,17602893.0,ns,17411
Batching,swap-queue,4,,,18449510.0,ns,18168
Batching,swap-queue,4,,,19228205.0,ns,18925
Batching,swap-queue,4,,,20010018.0,ns,19682
Batching,swap-queue,4,,,20701813.0,ns,20439
Batching,swap-queue,4,,,21582925.0,ns,21196
Batching,swap-queue,4,,,22282400.0,ns,21953
Batching,swap-queue,4,,,23042724.0,ns,22710
Batching,swap-queue,4,,,23871454.0,ns,23467
Batching,swap-queue,4,,,24530379.0,ns,24224
Batching,swap-queue,4,,,25373173.0,ns,24981
Batching,swap-queue,4,,,26211454.0,ns,25738
Batching,swap-queue,4,,,26927667.0,ns,26495
Batching,swap-queue,4,,,27648590.0,ns,27252
Batching,swap-queue,4,,,28432529.0,ns,28009
Batching,swap-queue,4,,,29193164.0,ns,28766
Batching,swap-queue,4,,,30038736.0,ns,29523
Batching,swap-queue,4,,,30739327.0,ns,30280
Batching,swap-queue,4,,,31468160.0,ns,31037
Batching,swap-queue,4,,,32162171.0,ns,31794
Batching,swap-queue,4,,,32970855.0,ns,32551
Batching,swap-queue,4,,,33624456.0,ns,33308
Batching,swap-queue,4,,,34188547.0,ns,34065
Batching,swap-queue,4,,,35151930.0,ns,34822
Batching,swap-queue,4,,,35891406.0,ns,35579
Batching,swap-queue,4,,,36662011.0,ns,36336
Batching,swap-queue,4,,,37348990.0,ns,37093
Batching,swap-queue,4,,,38197404.0,ns,37850
