group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap-queue,64,,,849136.0,ns,34
Batching,swap-queue,64,,,1578322.0,ns,68
Batching,swap-queue,64,,,2387107.0,ns,102
Batching,swap-queue,64,,,3151271.0,ns,136
Batching,swap-queue,64,,,3929449.0,ns,170
Batching,swap-queue,64,,,4756777.0,ns,204
Batching,swap-queue,64,,,5540002.0,ns,238
Batching,swap-queue,64,,,6316909.0,ns,272
Batching,swap-queue,64,,,7014596.0,ns,306
Batching,swap-queue,64,,,7795860.0,ns,340
Batching,swap-queue,64,,,8551672.0,ns,374
Batching,swap-queue,64,,,9339008.0,ns,408
Batching,swap-queue,64,,,10177797.0,ns,442
Batching,swap-queue,64,,,10917108.0,ns,476
Batching,swap-queue,64,,,11564351.0,ns,510
Batching,swap-queue,64,,,12591152.0,ns,544
Batching,swap-queue,64,,,13225077.0,ns,578
Batching,swap-queue,64,,,13902875.0,ns,612
Batching,swap-queue,64,,,14797713.0,ns,646
Batching,swap-queue,64,,,15623219.0,ns,680
Batching,swap-queue,64,,,16191996.0,ns,714
Batching,swap-queue,64,,,17299166.0,ns,748
Batching,swap-queue,64,,,17803114.0,ns,782
Batching,swap-queue,64,,,18544567.0,ns,816
Batching,swap-queue,64,,,19279111.0,ns,850
Batching,swap-queue,64,,,20151673.0,ns,884
Batching,swap-queue,64,,,21019074.0,ns,918
Batching,swap-queue,64,,,21603547.0,ns,952
Batching,swap-queue,64,,,22514968.0,ns,986
Batching,swap-queue,64,,,23328437.0,ns,1020
Batching,swap-queue,64,,,24019987.0,ns,1054
Batching,swap-queue,64,,,24906194.0,ns,1088
Batching,swap-queue,64,,,25541703.0,ns,1122
Batching,swap-queue,64,,,26224317.0,ns,1156
Batching,swap-queue,64,,,27021917.0,ns,1190
Batching,swap-queue,64,,,27840522.0,ns,1224
Batching,swap-queue,64,,,28571095.0,ns,1258
Batching,swap-queue,64,,,29394796.0,ns,1292
Batching,swap-queue,64,,,30121290.0,ns,1326
Batching,swap-queue,64,,,30828012.0,ns,1360
Batching,swap-queue,64,,,31586243.0,ns,1394
Batching,swap-queue,64,,,32384616.0,ns,1428
Batching,swap-queue,64,,,33198536.0,ns,1462
Batching,swap-queue,64,,,33941465.0,ns,1496
Batching,swap-queue,64,,,34831905.0,ns,1530
Batching,swap-queue,64,,,35496592.0,ns,1564
Batching,swap-queue,64,,,36233507.0,ns,1598
Batching,swap-queue,64,,,37096486.0,ns,1632
Batching,swap-queue,64,,,37948370.0,ns,1666
Batching,swap-queue,64,,,38936067.0,ns,1700
