group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap_queue,128,,,788280.0,ns,19
Batching,swap_queue,128,,,1567673.0,ns,38
Batching,swap_queue,128,,,2342118.0,ns,57
Batching,swap_queue,128,,,3137084.0,ns,76
Batching,swap_queue,128,,,3908042.0,ns,95
Batching,swap_queue,128,,,4746963.0,ns,114
Batching,swap_queue,128,,,5472983.0,ns,133
Batching,swap_queue,128,,,6254271.0,ns,152
Batching,swap_queue,128,,,7032712.0,ns,171
Batching,swap_queue,128,,,7814222.0,ns,190
Batching,swap_queue,128,,,8587912.0,ns,209
Batching,swap_queue,128,,,9380819.0,ns,228
Batching,swap_queue,128,,,10150235.0,ns,247
Batching,swap_queue,128,,,10916246.0,ns,266
Batching,swap_queue,128,,,11702957.0,ns,285
Batching,swap_queue,128,,,12486666.0,ns,304
Batching,swap_queue,128,,,13274453.0,ns,323
Batching,swap_queue,128,,,14078634.0,ns,342
Batching,swap_queue,128,,,14814564.0,ns,361
Batching,swap_queue,128,,,15614356.0,ns,380
Batching,swap_queue,128,,,16405392.0,ns,399
Batching,swap_queue,128,,,17173856.0,ns,418
Batching,swap_queue,128,,,17965491.0,ns,437
Batching,swap_queue,128,,,18749257.0,ns,456
Batching,swap_queue,128,,,19534770.0,ns,475
Batching,swap_queue,128,,,20303284.0,ns,494
Batching,swap_queue,128,,,21059604.0,ns,513
Batching,swap_queue,128,,,21857754.0,ns,532
Batching,swap_queue,128,,,22604827.0,ns,551
Batching,swap_queue,128,,,23425615.0,ns,570
Batching,swap_queue,128,,,24211605.0,ns,589
Batching,swap_queue,128,,,24960312.0,ns,608
Batching,swap_queue,128,,,25752521.0,ns,627
Batching,swap_queue,128,,,26552549.0,ns,646
Batching,swap_queue,128,,,27341107.0,ns,665
Batching,swap_queue,128,,,28128361.0,ns,684
Batching,swap_queue,128,,,28892542.0,ns,703
Batching,swap_queue,128,,,29699053.0,ns,722
Batching,swap_queue,128,,,30475739.0,ns,741
Batching,swap_queue,128,,,31242496.0,ns,760
Batching,swap_queue,128,,,32039110.0,ns,779
Batching,swap_queue,128,,,32843849.0,ns,798
Batching,swap_queue,128,,,33595854.0,ns,817
Batching,swap_queue,128,,,34344888.0,ns,836
Batching,swap_queue,128,,,35177992.0,ns,855
Batching,swap_queue,128,,,35951641.0,ns,874
Batching,swap_queue,128,,,36770583.0,ns,893
Batching,swap_queue,128,,,37458243.0,ns,912
Batching,swap_queue,128,,,38263376.0,ns,931
Batching,swap_queue,128,,,39088676.0,ns,950
