group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,swap_queue,8,,,786827.0,ns,509
Batching,swap_queue,8,,,1552993.0,ns,1018
Batching,swap_queue,8,,,2327881.0,ns,1527
Batching,swap_queue,8,,,3114166.0,ns,2036
Batching,swap_queue,8,,,3892181.0,ns,2545
Batching,swap_queue,8,,,4647730.0,ns,3054
Batching,swap_queue,8,,,5471299.0,ns,3563
Batching,swap_queue,8,,,6225051.0,ns,4072
Batching,swap_queue,8,,,7027409.0,ns,4581
Batching,swap_queue,8,,,7782318.0,ns,5090
Batching,swap_queue,8,,,8579599.0,ns,5599
Batching,swap_queue,8,,,9317728.0,ns,6108
Batching,swap_queue,8,,,10097637.0,ns,6617
Batching,swap_queue,8,,,10896099.0,ns,7126
Batching,swap_queue,8,,,11661666.0,ns,7635
Batching,swap_queue,8,,,12468251.0,ns,8144
Batching,swap_queue,8,,,13232382.0,ns,8653
Batching,swap_queue,8,,,13952994.0,ns,9162
Batching,swap_queue,8,,,14672408.0,ns,9671
Batching,swap_queue,8,,,15544419.0,ns,10180
Batching,swap_queue,8,,,16346934.0,ns,10689
Batching,swap_queue,8,,,17162528.0,ns,11198
Batching,swap_queue,8,,,17952521.0,ns,11707
Batching,swap_queue,8,,,18717367.0,ns,12216
Batching,swap_queue,8,,,19480448.0,ns,12725
Batching,swap_queue,8,,,20235512.0,ns,13234
Batching,swap_queue,8,,,21087881.0,ns,13743
Batching,swap_queue,8,,,21864065.0,ns,14252
Batching,swap_queue,8,,,22692304.0,ns,14761
Batching,swap_queue,8,,,23449042.0,ns,15270
Batching,swap_queue,8,,,24203442.0,ns,15779
Batching,swap_queue,8,,,25080673.0,ns,16288
Batching,swap_queue,8,,,25859713.0,ns,16797
Batching,swap_queue,8,,,26615507.0,ns,17306
Batching,swap_queue,8,,,27473735.0,ns,17815
Batching,swap_queue,8,,,28079770.0,ns,18324
Batching,swap_queue,8,,,28909477.0,ns,18833
Batching,swap_queue,8,,,29627078.0,ns,19342
Batching,swap_queue,8,,,30486002.0,ns,19851
Batching,swap_queue,8,,,31348948.0,ns,20360
Batching,swap_queue,8,,,32008645.0,ns,20869
Batching,swap_queue,8,,,32781457.0,ns,21378
Batching,swap_queue,8,,,33634679.0,ns,21887
Batching,swap_queue,8,,,34313404.0,ns,22396
Batching,swap_queue,8,,,35122228.0,ns,22905
Batching,swap_queue,8,,,35986314.0,ns,23414
Batching,swap_queue,8,,,36669904.0,ns,23923
Batching,swap_queue,8,,,37419776.0,ns,24432
Batching,swap_queue,8,,,38081449.0,ns,24941
Batching,swap_queue,8,,,39299372.0,ns,25450
