group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,tokio::mpsc,1,,,952380.0,ns,1794
Batching,tokio::mpsc,1,,,1565637.0,ns,3588
Batching,tokio::mpsc,1,,,2353293.0,ns,5382
Batching,tokio::mpsc,1,,,3126737.0,ns,7176
Batching,tokio::mpsc,1,,,3914319.0,ns,8970
Batching,tokio::mpsc,1,,,4684850.0,ns,10764
Batching,tokio::mpsc,1,,,5485265.0,ns,12558
Batching,tokio::mpsc,1,,,6277409.0,ns,14352
Batching,tokio::mpsc,1,,,7056523.0,ns,16146
Batching,tokio::mpsc,1,,,7837270.0,ns,17940
Batching,tokio::mpsc,1,,,8611945.0,ns,19734
Batching,tokio::mpsc,1,,,9400453.0,ns,21528
Batching,tokio::mpsc,1,,,10218049.0,ns,23322
Batching,tokio::mpsc,1,,,10978472.0,ns,25116
Batching,tokio::mpsc,1,,,11749053.0,ns,26910
Batching,tokio::mpsc,1,,,12536799.0,ns,28704
Batching,tokio::mpsc,1,,,13320647.0,ns,30498
Batching,tokio::mpsc,1,,,14107196.0,ns,32292
Batching,tokio::mpsc,1,,,14902580.0,ns,34086
Batching,tokio::mpsc,1,,,15684730.0,ns,35880
Batching,tokio::mpsc,1,,,16441723.0,ns,37674
Batching,tokio::mpsc,1,,,17248899.0,ns,39468
Batching,tokio::mpsc,1,,,18009978.0,ns,41262
Batching,tokio::mpsc,1,,,18799520.0,ns,43056
Batching,tokio::mpsc,1,,,19595545.0,ns,44850
Batching,tokio::mpsc,1,,,20367734.0,ns,46644
Batching,tokio::mpsc,1,,,21187857.0,ns,48438
Batching,tokio::mpsc,1,,,21939772.0,ns,50232
Batching,tokio::mpsc,1,,,22709876.0,ns,52026
Batching,tokio::mpsc,1,,,23491879.0,ns,53820
Batching,tokio::mpsc,1,,,24307842.0,ns,55614
Batching,tokio::mpsc,1,,,25038718.0,ns,57408
Batching,tokio::mpsc,1,,,25845746.0,ns,59202
Batching,tokio::mpsc,1,,,26640359.0,ns,60996
Batching,tokio::mpsc,1,,,27446526.0,ns,62790
Batching,tokio::mpsc,1,,,28196963.0,ns,64584
Batching,tokio::mpsc,1,,,28966707.0,ns,66378
Batching,tokio::mpsc,1,,,29776533.0,ns,68172
Batching,tokio::mpsc,1,,,30511938.0,ns,69966
Batching,tokio::mpsc,1,,,31320336.0,ns,71760
Batching,tokio::mpsc,1,,,32156279.0,ns,73554
Batching,tokio::mpsc,1,,,32905140.0,ns,75348
Batching,tokio::mpsc,1,,,33686224.0,ns,77142
Batching,tokio::mpsc,1,,,34473354.0,ns,78936
Batching,tokio::mpsc,1,,,35249982.0,ns,80730
Batching,tokio::mpsc,1,,,36063024.0,ns,82524
Batching,tokio::mpsc,1,,,36856424.0,ns,84318
Batching,tokio::mpsc,1,,,37624813.0,ns,86112
Batching,tokio::mpsc,1,,,38434270.0,ns,87906
Batching,tokio::mpsc,1,,,39156203.0,ns,89700
