group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,tokio::mpsc,2,,,802966.0,ns,1170
Batching,tokio::mpsc,2,,,1786830.0,ns,2340
Batching,tokio::mpsc,2,,,2390805.0,ns,3510
Batching,tokio::mpsc,2,,,3172586.0,ns,4680
Batching,tokio::mpsc,2,,,3965131.0,ns,5850
Batching,tokio::mpsc,2,,,4643643.0,ns,7020
Batching,tokio::mpsc,2,,,5409382.0,ns,8190
Batching,tokio::mpsc,2,,,6186535.0,ns,9360
Batching,tokio::mpsc,2,,,6959675.0,ns,10530
Batching,tokio::mpsc,2,,,7706429.0,ns,11700
Batching,tokio::mpsc,2,,,8505496.0,ns,12870
Batching,tokio::mpsc,2,,,9253989.0,ns,14040
Batching,tokio::mpsc,2,,,10096109.0,ns,15210
Batching,tokio::mpsc,2,,,11057089.0,ns,16380
Batching,tokio::mpsc,2,,,11645926.0,ns,17550
Batching,tokio::mpsc,2,,,12420881.0,ns,18720
Batching,tokio::mpsc,2,,,13297339.0,ns,19890
Batching,tokio::mpsc,2,,,14257622.0,ns,21060
Batching,tokio::mpsc,2,,,14870803.0,ns,22230
Batching,tokio::mpsc,2,,,15931393.0,ns,23400
Batching,tokio::mpsc,2,,,16733784.0,ns,24570
Batching,tokio::mpsc,2,,,17554104.0,ns,25740
Batching,tokio::mpsc,2,,,18326908.0,ns,26910
Batching,tokio::mpsc,2,,,19112159.0,ns,28080
Batching,tokio::mpsc,2,,,19759007.0,ns,29250
Batching,tokio::mpsc,2,,,20733295.0,ns,30420
Batching,tokio::mpsc,2,,,21208025.0,ns,31590
Batching,tokio::mpsc,2,,,21753621.0,ns,32760
Batching,tokio::mpsc,2,,,22426447.0,ns,33930
Batching,tokio::mpsc,2,,,23806057.0,ns,35100
Batching,tokio::mpsc,2,,,24289148.0,ns,36270
Batching,tokio::mpsc,2,,,25221444.0,ns,37440
Batching,tokio::mpsc,2,,,26125578.0,ns,38610
Batching,tokio::mpsc,2,,,26573419.0,ns,39780
Batching,tokio::mpsc,2,,,28022126.0,ns,40950
Batching,tokio::mpsc,2,,,27881975.0,ns,42120
Batching,tokio::mpsc,2,,,28524761.0,ns,43290
Batching,tokio::mpsc,2,,,29299673.0,ns,44460
Batching,tokio::mpsc,2,,,30043038.0,ns,45630
Batching,tokio::mpsc,2,,,30799752.0,ns,46800
Batching,tokio::mpsc,2,,,31776329.0,ns,47970
Batching,tokio::mpsc,2,,,32830198.0,ns,49140
Batching,tokio::mpsc,2,,,33843477.0,ns,50310
Batching,tokio::mpsc,2,,,35100848.0,ns,51480
Batching,tokio::mpsc,2,,,35775773.0,ns,52650
Batching,tokio::mpsc,2,,,36602460.0,ns,53820
Batching,tokio::mpsc,2,,,37432462.0,ns,54990
Batching,tokio::mpsc,2,,,37804735.0,ns,56160
Batching,tokio::mpsc,2,,,38877837.0,ns,57330
Batching,tokio::mpsc,2,,,39505912.0,ns,58500
