group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Batching,tokio::mpsc,256,,,783701.0,ns,7
Batching,tokio::mpsc,256,,,1545165.0,ns,14
Batching,tokio::mpsc,256,,,2325977.0,ns,21
Batching,tokio::mpsc,256,,,3086917.0,ns,28
Batching,tokio::mpsc,256,,,3859680.0,ns,35
Batching,tokio::mpsc,256,,,4632525.0,ns,42
Batching,tokio::mpsc,256,,,5396829.0,ns,49
Batching,tokio::mpsc,256,,,6174606.0,ns,56
Batching,tokio::mpsc,256,,,6935118.0,ns,63
Batching,tokio::mpsc,256,,,7702720.0,ns,70
Batching,tokio::mpsc,256,,,8485871.0,ns,77
Batching,tokio::mpsc,256,,,9258158.0,ns,84
Batching,tokio::mpsc,256,,,10030864.0,ns,91
Batching,tokio::mpsc,256,,,10792870.0,ns,98
Batching,tokio::mpsc,256,,,11556641.0,ns,105
Batching,tokio::mpsc,256,,,12334950.0,ns,112
Batching,tokio::mpsc,256,,,13098458.0,ns,119
Batching,tokio::mpsc,256,,,13870917.0,ns,126
Batching,tokio::mpsc,256,,,14634885.0,ns,133
Batching,tokio::mpsc,256,,,15410232.0,ns,140
Batching,tokio::mpsc,256,,,16176850.0,ns,147
Batching,tokio::mpsc,256,,,16945338.0,ns,154
Batching,tokio::mpsc,256,,,17721170.0,ns,161
Batching,tokio::mpsc,256,,,18482889.0,ns,168
Batching,tokio::mpsc,256,,,19259894.0,ns,175
Batching,tokio::mpsc,256,,,20067094.0,ns,182
Batching,tokio::mpsc,256,,,20814404.0,ns,189
Batching,tokio::mpsc,256,,,21572735.0,ns,196
Batching,tokio::mpsc,256,,,22339148.0,ns,203
Batching,tokio::mpsc,256,,,23106659.0,ns,210
Batching,tokio::mpsc,256,,,23874738.0,ns,217
Batching,tokio::mpsc,256,,,24652702.0,ns,224
Batching,tokio::mpsc,256,,,25428534.0,ns,231
Batching,tokio::mpsc,256,,,26206409.0,ns,238
Batching,tokio::mpsc,256,,,26971993.0,ns,245
Batching,tokio::mpsc,256,,,27733310.0,ns,252
Batching,tokio::mpsc,256,,,28533124.0,ns,259
Batching,tokio::mpsc,256,,,29303558.0,ns,266
Batching,tokio::mpsc,256,,,30063382.0,ns,273
Batching,tokio::mpsc,256,,,30865683.0,ns,280
Batching,tokio::mpsc,256,,,31614971.0,ns,287
Batching,tokio::mpsc,256,,,32440853.0,ns,294
Batching,tokio::mpsc,256,,,33241629.0,ns,301
Batching,tokio::mpsc,256,,,33923378.0,ns,308
Batching,tokio::mpsc,256,,,34700100.0,ns,315
Batching,tokio::mpsc,256,,,35476958.0,ns,322
Batching,tokio::mpsc,256,,,36241303.0,ns,329
Batching,tokio::mpsc,256,,,37002710.0,ns,336
Batching,tokio::mpsc,256,,,37785984.0,ns,343
Batching,tokio::mpsc,256,,,38529423.0,ns,350
