group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,crossbeam,16,,,514034.0,ns,1704
Push,crossbeam,16,,,1040618.0,ns,3408
Push,crossbeam,16,,,1554239.0,ns,5112
Push,crossbeam,16,,,2115262.0,ns,6816
Push,crossbeam,16,,,2692579.0,ns,8520
Push,crossbeam,16,,,3269645.0,ns,10224
Push,crossbeam,16,,,3899083.0,ns,11928
Push,crossbeam,16,,,4535814.0,ns,13632
Push,crossbeam,16,,,5209384.0,ns,15336
Push,crossbeam,16,,,5903363.0,ns,17040
Push,crossbeam,16,,,6579862.0,ns,18744
Push,crossbeam,16,,,7150232.0,ns,20448
Push,crossbeam,16,,,7941319.0,ns,22152
Push,crossbeam,16,,,8659526.0,ns,23856
Push,crossbeam,16,,,9295609.0,ns,25560
Push,crossbeam,16,,,10026041.0,ns,27264
Push,crossbeam,16,,,10691639.0,ns,28968
Push,crossbeam,16,,,11211822.0,ns,30672
Push,crossbeam,16,,,11914893.0,ns,32376
Push,crossbeam,16,,,12552496.0,ns,34080
Push,crossbeam,16,,,13249813.0,ns,35784
Push,crossbeam,16,,,14039969.0,ns,37488
Push,crossbeam,16,,,14653202.0,ns,39192
Push,crossbeam,16,,,15276643.0,ns,40896
Push,crossbeam,16,,,15859449.0,ns,42600
Push,crossbeam,16,,,16698764.0,ns,44304
Push,crossbeam,16,,,17217942.0,ns,46008
Push,crossbeam,16,,,17799180.0,ns,47712
Push,crossbeam,16,,,18462053.0,ns,49416
Push,crossbeam,16,,,19123375.0,ns,51120
Push,crossbeam,16,,,19729540.0,ns,52824
Push,crossbeam,16,,,20398077.0,ns,54528
Push,crossbeam,16,,,21014128.0,ns,56232
Push,crossbeam,16,,,21593049.0,ns,57936
Push,crossbeam,16,,,22335641.0,ns,59640
Push,crossbeam,16,,,23063949.0,ns,61344
Push,crossbeam,16,,,23518643.0,ns,63048
Push,crossbeam,16,,,24135845.0,ns,64752
Push,crossbeam,16,,,25062652.0,ns,66456
Push,crossbeam,16,,,25591127.0,ns,68160
Push,crossbeam,16,,,26233418.0,ns,69864
Push,crossbeam,16,,,26819092.0,ns,71568
Push,crossbeam,16,,,27455084.0,ns,73272
Push,crossbeam,16,,,28196699.0,ns,74976
Push,crossbeam,16,,,28739999.0,ns,76680
Push,crossbeam,16,,,29250552.0,ns,78384
Push,crossbeam,16,,,30208413.0,ns,80088
Push,crossbeam,16,,,30661384.0,ns,81792
Push,crossbeam,16,,,31502833.0,ns,83496
Push,crossbeam,16,,,32131768.0,ns,85200
