group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,crossbeam,256,,,738318.0,ns,189
Push,crossbeam,256,,,1476120.0,ns,378
Push,crossbeam,256,,,2218926.0,ns,567
Push,crossbeam,256,,,2971900.0,ns,756
Push,crossbeam,256,,,3711924.0,ns,945
Push,crossbeam,256,,,4478801.0,ns,1134
Push,crossbeam,256,,,5207735.0,ns,1323
Push,crossbeam,256,,,5952789.0,ns,1512
Push,crossbeam,256,,,6697633.0,ns,1701
Push,crossbeam,256,,,7460507.0,ns,1890
Push,crossbeam,256,,,8204200.0,ns,2079
Push,crossbeam,256,,,8979408.0,ns,2268
Push,crossbeam,256,,,9962094.0,ns,2457
Push,crossbeam,256,,,11014715.0,ns,2646
Push,crossbeam,256,,,11881895.0,ns,2835
Push,crossbeam,256,,,12826808.0,ns,3024
Push,crossbeam,256,,,13495792.0,ns,3213
Push,crossbeam,256,,,14331406.0,ns,3402
Push,crossbeam,256,,,15176949.0,ns,3591
Push,crossbeam,256,,,15804943.0,ns,3780
Push,crossbeam,256,,,16579553.0,ns,3969
Push,crossbeam,256,,,17328116.0,ns,4158
Push,crossbeam,256,,,17987347.0,ns,4347
Push,crossbeam,256,,,18760101.0,ns,4536
Push,crossbeam,256,,,19565407.0,ns,4725
Push,crossbeam,256,,,20251747.0,ns,4914
Push,crossbeam,256,,,20990942.0,ns,5103
Push,crossbeam,256,,,21563476.0,ns,5292
Push,crossbeam,256,,,21557561.0,ns,5481
Push,crossbeam,256,,,22298103.0,ns,5670
Push,crossbeam,256,,,23240088.0,ns,5859
Push,crossbeam,256,,,25037248.0,ns,6048
Push,crossbeam,256,,,25911089.0,ns,6237
Push,crossbeam,256,,,26675913.0,ns,6426
Push,crossbeam,256,,,27378744.0,ns,6615
Push,crossbeam,256,,,28279840.0,ns,6804
Push,crossbeam,256,,,28610188.0,ns,6993
Push,crossbeam,256,,,29111056.0,ns,7182
Push,crossbeam,256,,,30911467.0,ns,7371
Push,crossbeam,256,,,31480786.0,ns,7560
Push,crossbeam,256,,,31988802.0,ns,7749
Push,crossbeam,256,,,32951006.0,ns,7938
Push,crossbeam,256,,,33317273.0,ns,8127
Push,crossbeam,256,,,34336803.0,ns,8316
Push,crossbeam,256,,,35301467.0,ns,8505
Push,crossbeam,256,,,36306516.0,ns,8694
Push,crossbeam,256,,,37181736.0,ns,8883
Push,crossbeam,256,,,37853330.0,ns,9072
Push,crossbeam,256,,,38441635.0,ns,9261
Push,crossbeam,256,,,39357742.0,ns,9450
