group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,crossbeam,512,,,786928.0,ns,100
Push,crossbeam,512,,,1563828.0,ns,200
Push,crossbeam,512,,,2337427.0,ns,300
Push,crossbeam,512,,,3101552.0,ns,400
Push,crossbeam,512,,,3875184.0,ns,500
Push,crossbeam,512,,,4646214.0,ns,600
Push,crossbeam,512,,,5487017.0,ns,700
Push,crossbeam,512,,,6248136.0,ns,800
Push,crossbeam,512,,,7042045.0,ns,900
Push,crossbeam,512,,,7821523.0,ns,1000
Push,crossbeam,512,,,8601914.0,ns,1100
Push,crossbeam,512,,,9329246.0,ns,1200
Push,crossbeam,512,,,10145579.0,ns,1300
Push,crossbeam,512,,,10910567.0,ns,1400
Push,crossbeam,512,,,11724304.0,ns,1500
Push,crossbeam,512,,,12556503.0,ns,1600
Push,crossbeam,512,,,13299715.0,ns,1700
Push,crossbeam,512,,,14137954.0,ns,1800
Push,crossbeam,512,,,14853266.0,ns,1900
Push,crossbeam,512,,,15574629.0,ns,2000
Push,crossbeam,512,,,16348242.0,ns,2100
Push,crossbeam,512,,,17182014.0,ns,2200
Push,crossbeam,512,,,18052664.0,ns,2300
Push,crossbeam,512,,,18855952.0,ns,2400
Push,crossbeam,512,,,19582208.0,ns,2500
Push,crossbeam,512,,,20380633.0,ns,2600
Push,crossbeam,512,,,20877499.0,ns,2700
Push,crossbeam,512,,,21902566.0,ns,2800
Push,crossbeam,512,,,22773403.0,ns,2900
Push,crossbeam,512,,,23509389.0,ns,3000
Push,crossbeam,512,,,24487313.0,ns,3100
Push,crossbeam,512,,,25364920.0,ns,3200
Push,crossbeam,512,,,26130074.0,ns,3300
Push,crossbeam,512,,,26965477.0,ns,3400
Push,crossbeam,512,,,27865995.0,ns,3500
Push,crossbeam,512,,,28497121.0,ns,3600
Push,crossbeam,512,,,29059781.0,ns,3700
Push,crossbeam,512,,,29984558.0,ns,3800
Push,crossbeam,512,,,29710112.0,ns,3900
Push,crossbeam,512,,,30186668.0,ns,4000
Push,crossbeam,512,,,30917661.0,ns,4100
Push,crossbeam,512,,,31675578.0,ns,4200
Push,crossbeam,512,,,32471769.0,ns,4300
Push,crossbeam,512,,,33210451.0,ns,4400
Push,crossbeam,512,,,34275281.0,ns,4500
Push,crossbeam,512,,,35861952.0,ns,4600
Push,crossbeam,512,,,36894757.0,ns,4700
Push,crossbeam,512,,,37539651.0,ns,4800
Push,crossbeam,512,,,38341130.0,ns,4900
Push,crossbeam,512,,,38670262.0,ns,5000
