group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,flume,128,,,762231.0,ns,251
Push,flume,128,,,1518285.0,ns,502
Push,flume,128,,,2270793.0,ns,753
Push,flume,128,,,3037876.0,ns,1004
Push,flume,128,,,3792037.0,ns,1255
Push,flume,128,,,4554773.0,ns,1506
Push,flume,128,,,5311342.0,ns,1757
Push,flume,128,,,6084058.0,ns,2008
Push,flume,128,,,6818924.0,ns,2259
Push,flume,128,,,7576070.0,ns,2510
Push,flume,128,,,8343794.0,ns,2761
Push,flume,128,,,9103121.0,ns,3012
Push,flume,128,,,9851388.0,ns,3263
Push,flume,128,,,10611137.0,ns,3514
Push,flume,128,,,11355005.0,ns,3765
Push,flume,128,,,12119087.0,ns,4016
Push,flume,128,,,12876923.0,ns,4267
Push,flume,128,,,13623387.0,ns,4518
Push,flume,128,,,14746320.0,ns,4769
Push,flume,128,,,15489116.0,ns,5020
Push,flume,128,,,16261712.0,ns,5271
Push,flume,128,,,16899117.0,ns,5522
Push,flume,128,,,17953917.0,ns,5773
Push,flume,128,,,18698525.0,ns,6024
Push,flume,128,,,19544105.0,ns,6275
Push,flume,128,,,20244790.0,ns,6526
Push,flume,128,,,20977331.0,ns,6777
Push,flume,128,,,21784366.0,ns,7028
Push,flume,128,,,22535044.0,ns,7279
Push,flume,128,,,23329937.0,ns,7530
Push,flume,128,,,24191571.0,ns,7781
Push,flume,128,,,24906772.0,ns,8032
Push,flume,128,,,25178727.0,ns,8283
Push,flume,128,,,26316571.0,ns,8534
Push,flume,128,,,27295350.0,ns,8785
Push,flume,128,,,28177074.0,ns,9036
Push,flume,128,,,29353447.0,ns,9287
Push,flume,128,,,30016536.0,ns,9538
Push,flume,128,,,30702507.0,ns,9789
Push,flume,128,,,31582937.0,ns,10040
Push,flume,128,,,32466628.0,ns,10291
Push,flume,128,,,33228832.0,ns,10542
Push,flume,128,,,33916176.0,ns,10793
Push,flume,128,,,34825582.0,ns,11044
Push,flume,128,,,35373777.0,ns,11295
Push,flume,128,,,35947317.0,ns,11546
Push,flume,128,,,36947501.0,ns,11797
Push,flume,128,,,37816623.0,ns,12048
Push,flume,128,,,38580704.0,ns,12299
Push,flume,128,,,39296804.0,ns,12550
