group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,flume,16,,,553547.0,ns,950
Push,flume,16,,,1120563.0,ns,1900
Push,flume,16,,,1734868.0,ns,2850
Push,flume,16,,,2277172.0,ns,3800
Push,flume,16,,,2845424.0,ns,4750
Push,flume,16,,,3441813.0,ns,5700
Push,flume,16,,,4030610.0,ns,6650
Push,flume,16,,,4623132.0,ns,7600
Push,flume,16,,,5168320.0,ns,8550
Push,flume,16,,,5784514.0,ns,9500
Push,flume,16,,,6345633.0,ns,10450
Push,flume,16,,,6934671.0,ns,11400
Push,flume,16,,,7518224.0,ns,12350
Push,flume,16,,,8140319.0,ns,13300
Push,flume,16,,,8702234.0,ns,14250
Push,flume,16,,,9293460.0,ns,15200
Push,flume,16,,,9904279.0,ns,16150
Push,flume,16,,,10414931.0,ns,17100
Push,flume,16,,,11012852.0,ns,18050
Push,flume,16,,,11621562.0,ns,19000
Push,flume,16,,,12229445.0,ns,19950
Push,flume,16,,,12831199.0,ns,20900
Push,flume,16,,,13405147.0,ns,21850
Push,flume,16,,,13968203.0,ns,22800
Push,flume,16,,,14562588.0,ns,23750
Push,flume,16,,,15202927.0,ns,24700
Push,flume,16,,,15962588.0,ns,25650
Push,flume,16,,,16361602.0,ns,26600
Push,flume,16,,,16873699.0,ns,27550
Push,flume,16,,,17573297.0,ns,28500
Push,flume,16,,,18121280.0,ns,29450
Push,flume,16,,,18708707.0,ns,30400
Push,flume,16,,,19209472.0,ns,31350
Push,flume,16,,,19876768.0,ns,32300
Push,flume,16,,,20538829.0,ns,33250
Push,flume,16,,,21136709.0,ns,34200
Push,flume,16,,,21719557.0,ns,35150
Push,flume,16,,,22298599.0,ns,36100
Push,flume,16,,,22852564.0,ns,37050
Push,flume,16,,,23378265.0,ns,38000
Push,flume,16,,,24029060.0,ns,38950
Push,flume,16,,,24707292.0,ns,39900
Push,flume,16,,,25235714.0,ns,40850
Push,flume,16,,,25493309.0,ns,41800
Push,flume,16,,,26309820.0,ns,42750
Push,flume,16,,,27023907.0,ns,43700
Push,flume,16,,,27477548.0,ns,44650
Push,flume,16,,,28286588.0,ns,45600
Push,flume,16,,,28772288.0,ns,46550
Push,flume,16,,,29336881.0,ns,47500
