group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,flume,2048,,,741872.0,ns,16
Push,flume,2048,,,1490053.0,ns,32
Push,flume,2048,,,2212661.0,ns,48
Push,flume,2048,,,2961805.0,ns,64
Push,flume,2048,,,3696620.0,ns,80
Push,flume,2048,,,4445185.0,ns,96
Push,flume,2048,,,5182611.0,ns,112
Push,flume,2048,,,5909871.0,ns,128
Push,flume,2048,,,6602035.0,ns,144
Push,flume,2048,,,7366012.0,ns,160
Push,flume,2048,,,8049925.0,ns,176
Push,flume,2048,,,8822639.0,ns,192
Push,flume,2048,,,9581709.0,ns,208
Push,flume,2048,,,10350141.0,ns,224
Push,flume,2048,,,11042126.0,ns,240
Push,flume,2048,,,11799136.0,ns,256
Push,flume,2048,,,12549643.0,ns,272
Push,flume,2048,,,13284623.0,ns,288
Push,flume,2048,,,13870648.0,ns,304
Push,flume,2048,,,14703333.0,ns,320
Push,flume,2048,,,15421491.0,ns,336
Push,flume,2048,,,16114650.0,ns,352
Push,flume,2048,,,16939491.0,ns,368
Push,flume,2048,,,17728566.0,ns,384
Push,flume,2048,,,18526260.0,ns,400
Push,flume,2048,,,19203715.0,ns,416
Push,flume,2048,,,19884241.0,ns,432
Push,flume,2048,,,20633643.0,ns,448
Push,flume,2048,,,21349816.0,ns,464
Push,flume,2048,,,22153347.0,ns,480
Push,flume,2048,,,22895376.0,ns,496
Push,flume,2048,,,23285364.0,ns,512
Push,flume,2048,,,24211490.0,ns,528
Push,flume,2048,,,25101769.0,ns,544
Push,flume,2048,,,25887020.0,ns,560
Push,flume,2048,,,26557484.0,ns,576
Push,flume,2048,,,27441099.0,ns,592
Push,flume,2048,,,28110882.0,ns,608
Push,flume,2048,,,28935223.0,ns,624
Push,flume,2048,,,29353806.0,ns,640
Push,flume,2048,,,29911210.0,ns,656
Push,flume,2048,,,30942971.0,ns,672
Push,flume,2048,,,32063828.0,ns,688
Push,flume,2048,,,32461726.0,ns,704
Push,flume,2048,,,33498734.0,ns,720
Push,flume,2048,,,34032052.0,ns,736
Push,flume,2048,,,34904514.0,ns,752
Push,flume,2048,,,35340856.0,ns,768
Push,flume,2048,,,36312353.0,ns,784
Push,flume,2048,,,37158833.0,ns,800
