group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,swap-queue,2048,,,754770.0,ns,19
Push,swap-queue,2048,,,1494475.0,ns,38
Push,swap-queue,2048,,,2306748.0,ns,57
Push,swap-queue,2048,,,2988213.0,ns,76
Push,swap-queue,2048,,,3720273.0,ns,95
Push,swap-queue,2048,,,4486611.0,ns,114
Push,swap-queue,2048,,,5218679.0,ns,133
Push,swap-queue,2048,,,5963423.0,ns,152
Push,swap-queue,2048,,,6704302.0,ns,171
Push,swap-queue,2048,,,7477451.0,ns,190
Push,swap-queue,2048,,,8307551.0,ns,209
Push,swap-queue,2048,,,8907723.0,ns,228
Push,swap-queue,2048,,,9675711.0,ns,247
Push,swap-queue,2048,,,10412751.0,ns,266
Push,swap-queue,2048,,,11149864.0,ns,285
Push,swap-queue,2048,,,11886229.0,ns,304
Push,swap-queue,2048,,,12489888.0,ns,323
Push,swap-queue,2048,,,13391502.0,ns,342
Push,swap-queue,2048,,,14108087.0,ns,361
Push,swap-queue,2048,,,14871767.0,ns,380
Push,swap-queue,2048,,,15552920.0,ns,399
Push,swap-queue,2048,,,16369373.0,ns,418
Push,swap-queue,2048,,,17022636.0,ns,437
Push,swap-queue,2048,,,17842811.0,ns,456
Push,swap-queue,2048,,,18577297.0,ns,475
Push,swap-queue,2048,,,19324173.0,ns,494
Push,swap-queue,2048,,,20079223.0,ns,513
Push,swap-queue,2048,,,20575195.0,ns,532
Push,swap-queue,2048,,,21327963.0,ns,551
Push,swap-queue,2048,,,22230836.0,ns,570
Push,swap-queue,2048,,,23023022.0,ns,589
Push,swap-queue,2048,,,23803202.0,ns,608
Push,swap-queue,2048,,,24528862.0,ns,627
Push,swap-queue,2048,,,25242262.0,ns,646
Push,swap-queue,2048,,,26093899.0,ns,665
Push,swap-queue,2048,,,26599230.0,ns,684
Push,swap-queue,2048,,,27585383.0,ns,703
Push,swap-queue,2048,,,28378341.0,ns,722
Push,swap-queue,2048,,,29044489.0,ns,741
Push,swap-queue,2048,,,29814707.0,ns,760
Push,swap-queue,2048,,,30603207.0,ns,779
Push,swap-queue,2048,,,31328156.0,ns,798
Push,swap-queue,2048,,,32001235.0,ns,817
Push,swap-queue,2048,,,32680200.0,ns,836
Push,swap-queue,2048,,,33545525.0,ns,855
Push,swap-queue,2048,,,34293902.0,ns,874
Push,swap-queue,2048,,,34509362.0,ns,893
Push,swap-queue,2048,,,34887858.0,ns,912
Push,swap-queue,2048,,,36392297.0,ns,931
Push,swap-queue,2048,,,37117876.0,ns,950
