group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,swap-queue,2048,,,760054.0,ns,20
Push,swap-queue,2048,,,1520028.0,ns,40
Push,swap-queue,2048,,,2416750.0,ns,60
Push,swap-queue,2048,,,3049715.0,ns,80
Push,swap-queue,2048,,,3806390.0,ns,100
Push,swap-queue,2048,,,4561275.0,ns,120
Push,swap-queue,2048,,,5323261.0,ns,140
Push,swap-queue,2048,,,6085011.0,ns,160
Push,swap-queue,2048,,,6835417.0,ns,180
Push,swap-queue,2048,,,7594261.0,ns,200
Push,swap-queue,2048,,,8358674.0,ns,220
Push,swap-queue,2048,,,9115545.0,ns,240
Push,swap-queue,2048,,,9866023.0,ns,260
Push,swap-queue,2048,,,10627819.0,ns,280
Push,swap-queue,2048,,,11388182.0,ns,300
Push,swap-queue,2048,,,12142658.0,ns,320
Push,swap-queue,2048,,,12904907.0,ns,340
Push,swap-queue,2048,,,13662073.0,ns,360
Push,swap-queue,2048,,,14437177.0,ns,380
Push,swap-queue,2048,,,15187704.0,ns,400
Push,swap-queue,2048,,,15967175.0,ns,420
Push,swap-queue,2048,,,16771005.0,ns,440
Push,swap-queue,2048,,,17461351.0,ns,460
Push,swap-queue,2048,,,18324474.0,ns,480
Push,swap-queue,2048,,,19052302.0,ns,500
Push,swap-queue,2048,,,19916855.0,ns,520
Push,swap-queue,2048,,,20557398.0,ns,540
Push,swap-queue,2048,,,21339731.0,ns,560
Push,swap-queue,2048,,,22043470.0,ns,580
Push,swap-queue,2048,,,22788974.0,ns,600
Push,swap-queue,2048,,,23538169.0,ns,620
Push,swap-queue,2048,,,24312735.0,ns,640
Push,swap-queue,2048,,,25074463.0,ns,660
Push,swap-queue,2048,,,25809286.0,ns,680
Push,swap-queue,2048,,,26577523.0,ns,700
Push,swap-queue,2048,,,27325111.0,ns,720
Push,swap-queue,2048,,,28082509.0,ns,740
Push,swap-queue,2048,,,28849906.0,ns,760
Push,swap-queue,2048,,,29614543.0,ns,780
Push,swap-queue,2048,,,30360355.0,ns,800
Push,swap-queue,2048,,,31129179.0,ns,820
Push,swap-queue,2048,,,31881497.0,ns,840
Push,swap-queue,2048,,,32651502.0,ns,860
Push,swap-queue,2048,,,33409169.0,ns,880
Push,swap-queue,2048,,,34162860.0,ns,900
Push,swap-queue,2048,,,34920438.0,ns,920
Push,swap-queue,2048,,,35692150.0,ns,940
Push,swap-queue,2048,,,36441759.0,ns,960
Push,swap-queue,2048,,,37190710.0,ns,980
Push,swap-queue,2048,,,37957082.0,ns,1000
