group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,swap-queue,4,,,526703.0,ns,2249
Push,swap-queue,4,,,1053121.0,ns,4498
Push,swap-queue,4,,,1585801.0,ns,6747
Push,swap-queue,4,,,2097042.0,ns,8996
Push,swap-queue,4,,,2624335.0,ns,11245
Push,swap-queue,4,,,3161949.0,ns,13494
Push,swap-queue,4,,,3684462.0,ns,15743
Push,swap-queue,4,,,4202756.0,ns,17992
Push,swap-queue,4,,,4731747.0,ns,20241
Push,swap-queue,4,,,5248219.0,ns,22490
Push,swap-queue,4,,,5767723.0,ns,24739
Push,swap-queue,4,,,6306817.0,ns,26988
Push,swap-queue,4,,,6825034.0,ns,29237
Push,swap-queue,4,,,7361947.0,ns,31486
Push,swap-queue,4,,,7888011.0,ns,33735
Push,swap-queue,4,,,8412441.0,ns,35984
Push,swap-queue,4,,,8924655.0,ns,38233
Push,swap-queue,4,,,9456608.0,ns,40482
Push,swap-queue,4,,,10000623.0,ns,42731
Push,swap-queue,4,,,10572042.0,ns,44980
Push,swap-queue,4,,,11035090.0,ns,47229
Push,swap-queue,4,,,11566065.0,ns,49478
Push,swap-queue,4,,,12092301.0,ns,51727
Push,swap-queue,4,,,12617452.0,ns,53976
Push,swap-queue,4,,,13137332.0,ns,56225
Push,swap-queue,4,,,13658887.0,ns,58474
Push,swap-queue,4,,,14191147.0,ns,60723
Push,swap-queue,4,,,14706563.0,ns,62972
Push,swap-queue,4,,,15233685.0,ns,65221
Push,swap-queue,4,,,15779374.0,ns,67470
Push,swap-queue,4,,,16280348.0,ns,69719
Push,swap-queue,4,,,16831164.0,ns,71968
Push,swap-queue,4,,,17336968.0,ns,74217
Push,swap-queue,4,,,17919513.0,ns,76466
Push,swap-queue,4,,,18474924.0,ns,78715
Push,swap-queue,4,,,18941152.0,ns,80964
Push,swap-queue,4,,,19446496.0,ns,83213
Push,swap-queue,4,,,19981472.0,ns,85462
Push,swap-queue,4,,,20485388.0,ns,87711
Push,swap-queue,4,,,21022009.0,ns,89960
Push,swap-queue,4,,,21583565.0,ns,92209
Push,swap-queue,4,,,22095271.0,ns,94458
Push,swap-queue,4,,,22610509.0,ns,96707
Push,swap-queue,4,,,23175431.0,ns,98956
Push,swap-queue,4,,,23691256.0,ns,101205
Push,swap-queue,4,,,24244180.0,ns,103454
Push,swap-queue,4,,,24748150.0,ns,105703
Push,swap-queue,4,,,25205040.0,ns,107952
Push,swap-queue,4,,,25737256.0,ns,110201
Push,swap-queue,4,,,26287367.0,ns,112450
