group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,swap_queue,1,,,448531.0,ns,1900
Push,swap_queue,1,,,952405.0,ns,3800
Push,swap_queue,1,,,1477097.0,ns,5700
Push,swap_queue,1,,,2065712.0,ns,7600
Push,swap_queue,1,,,2678485.0,ns,9500
Push,swap_queue,1,,,3403742.0,ns,11400
Push,swap_queue,1,,,4104210.0,ns,13300
Push,swap_queue,1,,,4741737.0,ns,15200
Push,swap_queue,1,,,5429109.0,ns,17100
Push,swap_queue,1,,,6128806.0,ns,19000
Push,swap_queue,1,,,6787060.0,ns,20900
Push,swap_queue,1,,,7458740.0,ns,22800
Push,swap_queue,1,,,8154798.0,ns,24700
Push,swap_queue,1,,,8971458.0,ns,26600
Push,swap_queue,1,,,9752073.0,ns,28500
Push,swap_queue,1,,,10374518.0,ns,30400
Push,swap_queue,1,,,10956603.0,ns,32300
Push,swap_queue,1,,,11270572.0,ns,34200
Push,swap_queue,1,,,11882648.0,ns,36100
Push,swap_queue,1,,,12705306.0,ns,38000
Push,swap_queue,1,,,13597840.0,ns,39900
Push,swap_queue,1,,,14265167.0,ns,41800
Push,swap_queue,1,,,14851590.0,ns,43700
Push,swap_queue,1,,,15549001.0,ns,45600
Push,swap_queue,1,,,16232925.0,ns,47500
Push,swap_queue,1,,,16819682.0,ns,49400
Push,swap_queue,1,,,17164272.0,ns,51300
Push,swap_queue,1,,,17753394.0,ns,53200
Push,swap_queue,1,,,18246654.0,ns,55100
Push,swap_queue,1,,,18846384.0,ns,57000
Push,swap_queue,1,,,19598787.0,ns,58900
Push,swap_queue,1,,,20511315.0,ns,60800
Push,swap_queue,1,,,21292871.0,ns,62700
Push,swap_queue,1,,,21869074.0,ns,64600
Push,swap_queue,1,,,22512231.0,ns,66500
Push,swap_queue,1,,,22630334.0,ns,68400
Push,swap_queue,1,,,23728494.0,ns,70300
Push,swap_queue,1,,,24308372.0,ns,72200
Push,swap_queue,1,,,24915779.0,ns,74100
Push,swap_queue,1,,,25386596.0,ns,76000
Push,swap_queue,1,,,25901473.0,ns,77900
Push,swap_queue,1,,,26918076.0,ns,79800
Push,swap_queue,1,,,28023113.0,ns,81700
Push,swap_queue,1,,,28368488.0,ns,83600
Push,swap_queue,1,,,29238251.0,ns,85500
Push,swap_queue,1,,,29904271.0,ns,87400
Push,swap_queue,1,,,30828825.0,ns,89300
Push,swap_queue,1,,,31204437.0,ns,91200
Push,swap_queue,1,,,32010437.0,ns,93100
Push,swap_queue,1,,,32522500.0,ns,95000
