group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,swap_queue,64,,,715063.0,ns,497
Push,swap_queue,64,,,1421057.0,ns,994
Push,swap_queue,64,,,2116682.0,ns,1491
Push,swap_queue,64,,,2813065.0,ns,1988
Push,swap_queue,64,,,3408862.0,ns,2485
Push,swap_queue,64,,,4172113.0,ns,2982
Push,swap_queue,64,,,4960896.0,ns,3479
Push,swap_queue,64,,,5658532.0,ns,3976
Push,swap_queue,64,,,6549407.0,ns,4473
Push,swap_queue,64,,,7092459.0,ns,4970
Push,swap_queue,64,,,7832150.0,ns,5467
Push,swap_queue,64,,,8589782.0,ns,5964
Push,swap_queue,64,,,9407705.0,ns,6461
Push,swap_queue,64,,,10062407.0,ns,6958
Push,swap_queue,64,,,10617097.0,ns,7455
Push,swap_queue,64,,,11313202.0,ns,7952
Push,swap_queue,64,,,12269904.0,ns,8449
Push,swap_queue,64,,,13029957.0,ns,8946
Push,swap_queue,64,,,13670808.0,ns,9443
Push,swap_queue,64,,,14513719.0,ns,9940
Push,swap_queue,64,,,14748717.0,ns,10437
Push,swap_queue,64,,,15655184.0,ns,10934
Push,swap_queue,64,,,16490051.0,ns,11431
Push,swap_queue,64,,,16923270.0,ns,11928
Push,swap_queue,64,,,17497258.0,ns,12425
Push,swap_queue,64,,,18683385.0,ns,12922
Push,swap_queue,64,,,19440126.0,ns,13419
Push,swap_queue,64,,,19557234.0,ns,13916
Push,swap_queue,64,,,20504702.0,ns,14413
Push,swap_queue,64,,,21653145.0,ns,14910
Push,swap_queue,64,,,22322744.0,ns,15407
Push,swap_queue,64,,,22904945.0,ns,15904
Push,swap_queue,64,,,23680072.0,ns,16401
Push,swap_queue,64,,,24617315.0,ns,16898
Push,swap_queue,64,,,25517649.0,ns,17395
Push,swap_queue,64,,,26089807.0,ns,17892
Push,swap_queue,64,,,26265396.0,ns,18389
Push,swap_queue,64,,,26719645.0,ns,18886
Push,swap_queue,64,,,27336437.0,ns,19383
Push,swap_queue,64,,,28027388.0,ns,19880
Push,swap_queue,64,,,28761047.0,ns,20377
Push,swap_queue,64,,,29439148.0,ns,20874
Push,swap_queue,64,,,30184616.0,ns,21371
Push,swap_queue,64,,,30850472.0,ns,21868
Push,swap_queue,64,,,31545617.0,ns,22365
Push,swap_queue,64,,,32242416.0,ns,22862
Push,swap_queue,64,,,32987668.0,ns,23359
Push,swap_queue,64,,,33675172.0,ns,23856
Push,swap_queue,64,,,34366695.0,ns,24353
Push,swap_queue,64,,,35819112.0,ns,24850
