group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,tokio::mpsc,1024,,,813520.0,ns,14
Push,tokio::mpsc,1024,,,1586847.0,ns,28
Push,tokio::mpsc,1024,,,2381256.0,ns,42
Push,tokio::mpsc,1024,,,3194920.0,ns,56
Push,tokio::mpsc,1024,,,3965673.0,ns,70
Push,tokio::mpsc,1024,,,4840385.0,ns,84
Push,tokio::mpsc,1024,,,5562417.0,ns,98
Push,tokio::mpsc,1024,,,6325926.0,ns,112
Push,tokio::mpsc,1024,,,7124318.0,ns,126
Push,tokio::mpsc,1024,,,7947618.0,ns,140
Push,tokio::mpsc,1024,,,8759084.0,ns,154
Push,tokio::mpsc,1024,,,9547141.0,ns,168
Push,tokio::mpsc,1024,,,10374043.0,ns,182
Push,tokio::mpsc,1024,,,11144985.0,ns,196
Push,tokio::mpsc,1024,,,11932092.0,ns,210
Push,tokio::mpsc,1024,,,12718951.0,ns,224
Push,tokio::mpsc,1024,,,13493444.0,ns,238
Push,tokio::mpsc,1024,,,14133807.0,ns,252
Push,tokio::mpsc,1024,,,14811475.0,ns,266
Push,tokio::mpsc,1024,,,15741113.0,ns,280
Push,tokio::mpsc,1024,,,16735511.0,ns,294
Push,tokio::mpsc,1024,,,17271478.0,ns,308
Push,tokio::mpsc,1024,,,18289130.0,ns,322
Push,tokio::mpsc,1024,,,19010691.0,ns,336
Push,tokio::mpsc,1024,,,19763056.0,ns,350
Push,tokio::mpsc,1024,,,20648151.0,ns,364
Push,tokio::mpsc,1024,,,21411880.0,ns,378
Push,tokio::mpsc,1024,,,22247510.0,ns,392
Push,tokio::mpsc,1024,,,22996493.0,ns,406
Push,tokio::mpsc,1024,,,23707663.0,ns,420
Push,tokio::mpsc,1024,,,24682219.0,ns,434
Push,tokio::mpsc,1024,,,25457027.0,ns,448
Push,tokio::mpsc,1024,,,26267548.0,ns,462
Push,tokio::mpsc,1024,,,27063402.0,ns,476
Push,tokio::mpsc,1024,,,27899909.0,ns,490
Push,tokio::mpsc,1024,,,27811576.0,ns,504
Push,tokio::mpsc,1024,,,29236107.0,ns,518
Push,tokio::mpsc,1024,,,29540383.0,ns,532
Push,tokio::mpsc,1024,,,30379608.0,ns,546
Push,tokio::mpsc,1024,,,31585356.0,ns,560
Push,tokio::mpsc,1024,,,32613878.0,ns,574
Push,tokio::mpsc,1024,,,32754161.0,ns,588
Push,tokio::mpsc,1024,,,33154507.0,ns,602
Push,tokio::mpsc,1024,,,33923313.0,ns,616
Push,tokio::mpsc,1024,,,34674268.0,ns,630
Push,tokio::mpsc,1024,,,35566381.0,ns,644
Push,tokio::mpsc,1024,,,36398080.0,ns,658
Push,tokio::mpsc,1024,,,38086638.0,ns,672
Push,tokio::mpsc,1024,,,38896964.0,ns,686
Push,tokio::mpsc,1024,,,39842058.0,ns,700
