group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,tokio::mpsc,512,,,774003.0,ns,28
Push,tokio::mpsc,512,,,1547621.0,ns,56
Push,tokio::mpsc,512,,,2333805.0,ns,84
Push,tokio::mpsc,512,,,3104907.0,ns,112
Push,tokio::mpsc,512,,,3870671.0,ns,140
Push,tokio::mpsc,512,,,4647580.0,ns,168
Push,tokio::mpsc,512,,,5427587.0,ns,196
Push,tokio::mpsc,512,,,6197630.0,ns,224
Push,tokio::mpsc,512,,,6970358.0,ns,252
Push,tokio::mpsc,512,,,7745979.0,ns,280
Push,tokio::mpsc,512,,,8550749.0,ns,308
Push,tokio::mpsc,512,,,9294979.0,ns,336
Push,tokio::mpsc,512,,,10069424.0,ns,364
Push,tokio::mpsc,512,,,10848872.0,ns,392
Push,tokio::mpsc,512,,,11618179.0,ns,420
Push,tokio::mpsc,512,,,12389490.0,ns,448
Push,tokio::mpsc,512,,,13178870.0,ns,476
Push,tokio::mpsc,512,,,13933439.0,ns,504
Push,tokio::mpsc,512,,,14712446.0,ns,532
Push,tokio::mpsc,512,,,15489983.0,ns,560
Push,tokio::mpsc,512,,,16258536.0,ns,588
Push,tokio::mpsc,512,,,17035797.0,ns,616
Push,tokio::mpsc,512,,,17809135.0,ns,644
Push,tokio::mpsc,512,,,18591023.0,ns,672
Push,tokio::mpsc,512,,,19361731.0,ns,700
Push,tokio::mpsc,512,,,20130667.0,ns,728
Push,tokio::mpsc,512,,,20913512.0,ns,756
Push,tokio::mpsc,512,,,21692151.0,ns,784
Push,tokio::mpsc,512,,,22469620.0,ns,812
Push,tokio::mpsc,512,,,23242197.0,ns,840
Push,tokio::mpsc,512,,,24014846.0,ns,868
Push,tokio::mpsc,512,,,24781376.0,ns,896
Push,tokio::mpsc,512,,,25569330.0,ns,924
Push,tokio::mpsc,512,,,26321404.0,ns,952
Push,tokio::mpsc,512,,,27139883.0,ns,980
Push,tokio::mpsc,512,,,27895232.0,ns,1008
Push,tokio::mpsc,512,,,28730657.0,ns,1036
Push,tokio::mpsc,512,,,29573883.0,ns,1064
Push,tokio::mpsc,512,,,30425154.0,ns,1092
Push,tokio::mpsc,512,,,31243379.0,ns,1120
Push,tokio::mpsc,512,,,32472912.0,ns,1148
Push,tokio::mpsc,512,,,33228389.0,ns,1176
Push,tokio::mpsc,512,,,33431916.0,ns,1204
Push,tokio::mpsc,512,,,34227067.0,ns,1232
Push,tokio::mpsc,512,,,34999245.0,ns,1260
Push,tokio::mpsc,512,,,36114427.0,ns,1288
Push,tokio::mpsc,512,,,36710340.0,ns,1316
Push,tokio::mpsc,512,,,37862846.0,ns,1344
Push,tokio::mpsc,512,,,38804456.0,ns,1372
Push,tokio::mpsc,512,,,39636993.0,ns,1400
