group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Push,tokio::mpsc,64,,,722727.0,ns,200
Push,tokio::mpsc,64,,,1405196.0,ns,400
Push,tokio::mpsc,64,,,2123926.0,ns,600
Push,tokio::mpsc,64,,,2885819.0,ns,800
Push,tokio::mpsc,64,,,3601918.0,ns,1000
Push,tokio::mpsc,64,,,4271913.0,ns,1200
Push,tokio::mpsc,64,,,5035021.0,ns,1400
Push,tokio::mpsc,64,,,5755466.0,ns,1600
Push,tokio::mpsc,64,,,6515858.0,ns,1800
Push,tokio::mpsc,64,,,7311577.0,ns,2000
Push,tokio::mpsc,64,,,8094679.0,ns,2200
Push,tokio::mpsc,64,,,8770778.0,ns,2400
Push,tokio::mpsc,64,,,9509230.0,ns,2600
Push,tokio::mpsc,64,,,10212855.0,ns,2800
Push,tokio::mpsc,64,,,10904897.0,ns,3000
Push,tokio::mpsc,64,,,11516554.0,ns,3200
Push,tokio::mpsc,64,,,12358354.0,ns,3400
Push,tokio::mpsc,64,,,13210016.0,ns,3600
Push,tokio::mpsc,64,,,13757568.0,ns,3800
Push,tokio::mpsc,64,,,14589523.0,ns,4000
Push,tokio::mpsc,64,,,15105344.0,ns,4200
Push,tokio::mpsc,64,,,16142844.0,ns,4400
Push,tokio::mpsc,64,,,16846358.0,ns,4600
Push,tokio::mpsc,64,,,17684827.0,ns,4800
Push,tokio::mpsc,64,,,18139677.0,ns,5000
Push,tokio::mpsc,64,,,18699065.0,ns,5200
Push,tokio::mpsc,64,,,19653892.0,ns,5400
Push,tokio::mpsc,64,,,20512742.0,ns,5600
Push,tokio::mpsc,64,,,21146446.0,ns,5800
Push,tokio::mpsc,64,,,21460085.0,ns,6000
Push,tokio::mpsc,64,,,22535657.0,ns,6200
Push,tokio::mpsc,64,,,23285571.0,ns,6400
Push,tokio::mpsc,64,,,24011031.0,ns,6600
Push,tokio::mpsc,64,,,24921507.0,ns,6800
Push,tokio::mpsc,64,,,25606318.0,ns,7000
Push,tokio::mpsc,64,,,26393968.0,ns,7200
Push,tokio::mpsc,64,,,27253674.0,ns,7400
Push,tokio::mpsc,64,,,28002566.0,ns,7600
Push,tokio::mpsc,64,,,28751536.0,ns,7800
Push,tokio::mpsc,64,,,29552692.0,ns,8000
Push,tokio::mpsc,64,,,30258595.0,ns,8200
Push,tokio::mpsc,64,,,30991862.0,ns,8400
Push,tokio::mpsc,64,,,31747000.0,ns,8600
Push,tokio::mpsc,64,,,32548771.0,ns,8800
Push,tokio::mpsc,64,,,33187191.0,ns,9000
Push,tokio::mpsc,64,,,33927690.0,ns,9200
Push,tokio::mpsc,64,,,34565310.0,ns,9400
Push,tokio::mpsc,64,,,35481695.0,ns,9600
Push,tokio::mpsc,64,,,36254761.0,ns,9800
Push,tokio::mpsc,64,,,36914531.0,ns,10000
