group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,crossbeam,1024,,,510832.0,ns,19
Take,crossbeam,1024,,,1004423.0,ns,38
Take,crossbeam,1024,,,1525129.0,ns,57
Take,crossbeam,1024,,,2020834.0,ns,76
Take,crossbeam,1024,,,2523927.0,ns,95
Take,crossbeam,1024,,,3043998.0,ns,114
Take,crossbeam,1024,,,3550029.0,ns,133
Take,crossbeam,1024,,,4056702.0,ns,152
Take,crossbeam,1024,,,4562306.0,ns,171
Take,crossbeam,1024,,,5083224.0,ns,190
Take,crossbeam,1024,,,5553155.0,ns,209
Take,crossbeam,1024,,,6033793.0,ns,228
Take,crossbeam,1024,,,6580510.0,ns,247
Take,crossbeam,1024,,,7100271.0,ns,266
Take,crossbeam,1024,,,7634842.0,ns,285
Take,crossbeam,1024,,,8133363.0,ns,304
Take,crossbeam,1024,,,8625158.0,ns,323
Take,crossbeam,1024,,,9125949.0,ns,342
Take,crossbeam,1024,,,9621870.0,ns,361
Take,crossbeam,1024,,,10168398.0,ns,380
Take,crossbeam,1024,,,10694046.0,ns,399
Take,crossbeam,1024,,,11111230.0,ns,418
Take,crossbeam,1024,,,11638497.0,ns,437
Take,crossbeam,1024,,,12148280.0,ns,456
Take,crossbeam,1024,,,12630527.0,ns,475
Take,crossbeam,1024,,,13144257.0,ns,494
Take,crossbeam,1024,,,13684595.0,ns,513
Take,crossbeam,1024,,,14165256.0,ns,532
Take,crossbeam,1024,,,14686800.0,ns,551
Take,crossbeam,1024,,,15208071.0,ns,570
Take,crossbeam,1024,,,15653910.0,ns,589
Take,crossbeam,1024,,,16118750.0,ns,608
Take,crossbeam,1024,,,16652278.0,ns,627
Take,crossbeam,1024,,,17187309.0,ns,646
Take,crossbeam,1024,,,17782945.0,ns,665
Take,crossbeam,1024,,,18015116.0,ns,684
Take,crossbeam,1024,,,18326547.0,ns,703
Take,crossbeam,1024,,,18895314.0,ns,722
Take,crossbeam,1024,,,19267680.0,ns,741
Take,crossbeam,1024,,,20510345.0,ns,760
Take,crossbeam,1024,,,20497567.0,ns,779
Take,crossbeam,1024,,,21261497.0,ns,798
Take,crossbeam,1024,,,21869415.0,ns,817
Take,crossbeam,1024,,,22075216.0,ns,836
Take,crossbeam,1024,,,22827004.0,ns,855
Take,crossbeam,1024,,,23224937.0,ns,874
Take,crossbeam,1024,,,23694524.0,ns,893
Take,crossbeam,1024,,,24551282.0,ns,912
Take,crossbeam,1024,,,25104884.0,ns,931
Take,crossbeam,1024,,,25440551.0,ns,950
