group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,crossbeam,32,,,471457.0,ns,446
Take,crossbeam,32,,,936692.0,ns,892
Take,crossbeam,32,,,1424163.0,ns,1338
Take,crossbeam,32,,,1892137.0,ns,1784
Take,crossbeam,32,,,2381347.0,ns,2230
Take,crossbeam,32,,,2870582.0,ns,2676
Take,crossbeam,32,,,3349218.0,ns,3122
Take,crossbeam,32,,,3846315.0,ns,3568
Take,crossbeam,32,,,4323283.0,ns,4014
Take,crossbeam,32,,,4814395.0,ns,4460
Take,crossbeam,32,,,5300117.0,ns,4906
Take,crossbeam,32,,,5786483.0,ns,5352
Take,crossbeam,32,,,6299529.0,ns,5798
Take,crossbeam,32,,,6764135.0,ns,6244
Take,crossbeam,32,,,7256841.0,ns,6690
Take,crossbeam,32,,,7734606.0,ns,7136
Take,crossbeam,32,,,8211891.0,ns,7582
Take,crossbeam,32,,,8725436.0,ns,8028
Take,crossbeam,32,,,9192956.0,ns,8474
Take,crossbeam,32,,,9694197.0,ns,8920
Take,crossbeam,32,,,10212234.0,ns,9366
Take,crossbeam,32,,,10886108.0,ns,9812
Take,crossbeam,32,,,11459371.0,ns,10258
Take,crossbeam,32,,,12147123.0,ns,10704
Take,crossbeam,32,,,12387973.0,ns,11150
Take,crossbeam,32,,,12801094.0,ns,11596
Take,crossbeam,32,,,13634344.0,ns,12042
Take,crossbeam,32,,,14213048.0,ns,12488
Take,crossbeam,32,,,14565303.0,ns,12934
Take,crossbeam,32,,,14811936.0,ns,13380
Take,crossbeam,32,,,15332525.0,ns,13826
Take,crossbeam,32,,,15896697.0,ns,14272
Take,crossbeam,32,,,16316359.0,ns,14718
Take,crossbeam,32,,,17227657.0,ns,15164
Take,crossbeam,32,,,17309000.0,ns,15610
Take,crossbeam,32,,,17960098.0,ns,16056
Take,crossbeam,32,,,18429866.0,ns,16502
Take,crossbeam,32,,,18716429.0,ns,16948
Take,crossbeam,32,,,19207674.0,ns,17394
Take,crossbeam,32,,,19732381.0,ns,17840
Take,crossbeam,32,,,20218762.0,ns,18286
Take,crossbeam,32,,,20718485.0,ns,18732
Take,crossbeam,32,,,21257551.0,ns,19178
Take,crossbeam,32,,,21749275.0,ns,19624
Take,crossbeam,32,,,22251308.0,ns,20070
Take,crossbeam,32,,,22804941.0,ns,20516
Take,crossbeam,32,,,23312514.0,ns,20962
Take,crossbeam,32,,,23826768.0,ns,21408
Take,crossbeam,32,,,24268301.0,ns,21854
Take,crossbeam,32,,,25251674.0,ns,22300
