group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,crossbeam,8,,,512697.0,ns,1451
Take,crossbeam,8,,,1025177.0,ns,2902
Take,crossbeam,8,,,1537590.0,ns,4353
Take,crossbeam,8,,,2064018.0,ns,5804
Take,crossbeam,8,,,2563888.0,ns,7255
Take,crossbeam,8,,,3077162.0,ns,8706
Take,crossbeam,8,,,3592342.0,ns,10157
Take,crossbeam,8,,,4104679.0,ns,11608
Take,crossbeam,8,,,4601505.0,ns,13059
Take,crossbeam,8,,,5136951.0,ns,14510
Take,crossbeam,8,,,5650072.0,ns,15961
Take,crossbeam,8,,,6157220.0,ns,17412
Take,crossbeam,8,,,6677005.0,ns,18863
Take,crossbeam,8,,,7270303.0,ns,20314
Take,crossbeam,8,,,7870984.0,ns,21765
Take,crossbeam,8,,,8444221.0,ns,23216
Take,crossbeam,8,,,8948744.0,ns,24667
Take,crossbeam,8,,,9297626.0,ns,26118
Take,crossbeam,8,,,9772883.0,ns,27569
Take,crossbeam,8,,,10358999.0,ns,29020
Take,crossbeam,8,,,10796037.0,ns,30471
Take,crossbeam,8,,,11521150.0,ns,31922
Take,crossbeam,8,,,11811972.0,ns,33373
Take,crossbeam,8,,,12311818.0,ns,34824
Take,crossbeam,8,,,13146985.0,ns,36275
Take,crossbeam,8,,,13390910.0,ns,37726
Take,crossbeam,8,,,13870028.0,ns,39177
Take,crossbeam,8,,,14523602.0,ns,40628
Take,crossbeam,8,,,15236891.0,ns,42079
Take,crossbeam,8,,,15802334.0,ns,43530
Take,crossbeam,8,,,16341847.0,ns,44981
Take,crossbeam,8,,,16745704.0,ns,46432
Take,crossbeam,8,,,17035845.0,ns,47883
Take,crossbeam,8,,,17582592.0,ns,49334
Take,crossbeam,8,,,18040832.0,ns,50785
Take,crossbeam,8,,,18463307.0,ns,52236
Take,crossbeam,8,,,19313043.0,ns,53687
Take,crossbeam,8,,,20041361.0,ns,55138
Take,crossbeam,8,,,20427660.0,ns,56589
Take,crossbeam,8,,,20837921.0,ns,58040
Take,crossbeam,8,,,21533415.0,ns,59491
Take,crossbeam,8,,,22094279.0,ns,60942
Take,crossbeam,8,,,22574641.0,ns,62393
Take,crossbeam,8,,,22988939.0,ns,63844
Take,crossbeam,8,,,23355826.0,ns,65295
Take,crossbeam,8,,,24006877.0,ns,66746
Take,crossbeam,8,,,24457214.0,ns,68197
Take,crossbeam,8,,,25191630.0,ns,69648
Take,crossbeam,8,,,25835200.0,ns,71099
Take,crossbeam,8,,,26263562.0,ns,72550
