group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,flume,4,,,410418.0,ns,1936
Take,flume,4,,,830188.0,ns,3872
Take,flume,4,,,1224096.0,ns,5808
Take,flume,4,,,1640879.0,ns,7744
Take,flume,4,,,2077444.0,ns,9680
Take,flume,4,,,2466472.0,ns,11616
Take,flume,4,,,2900100.0,ns,13552
Take,flume,4,,,3309534.0,ns,15488
Take,flume,4,,,3738361.0,ns,17424
Take,flume,4,,,4077023.0,ns,19360
Take,flume,4,,,4543115.0,ns,21296
Take,flume,4,,,4905860.0,ns,23232
Take,flume,4,,,5376647.0,ns,25168
Take,flume,4,,,5774354.0,ns,27104
Take,flume,4,,,6186647.0,ns,29040
Take,flume,4,,,6671573.0,ns,30976
Take,flume,4,,,7059690.0,ns,32912
Take,flume,4,,,7476366.0,ns,34848
Take,flume,4,,,7902086.0,ns,36784
Take,flume,4,,,8262662.0,ns,38720
Take,flume,4,,,8747384.0,ns,40656
Take,flume,4,,,9167467.0,ns,42592
Take,flume,4,,,9525317.0,ns,44528
Take,flume,4,,,9968948.0,ns,46464
Take,flume,4,,,10227532.0,ns,48400
Take,flume,4,,,10522679.0,ns,50336
Take,flume,4,,,10968377.0,ns,52272
Take,flume,4,,,11340292.0,ns,54208
Take,flume,4,,,11723221.0,ns,56144
Take,flume,4,,,12127714.0,ns,58080
Take,flume,4,,,12531602.0,ns,60016
Take,flume,4,,,12938431.0,ns,61952
Take,flume,4,,,13335325.0,ns,63888
Take,flume,4,,,13864323.0,ns,65824
Take,flume,4,,,14507052.0,ns,67760
Take,flume,4,,,14949861.0,ns,69696
Take,flume,4,,,15323586.0,ns,71632
Take,flume,4,,,15747818.0,ns,73568
Take,flume,4,,,15945772.0,ns,75504
Take,flume,4,,,16353744.0,ns,77440
Take,flume,4,,,16749772.0,ns,79376
Take,flume,4,,,17116975.0,ns,81312
Take,flume,4,,,17503867.0,ns,83248
Take,flume,4,,,18102644.0,ns,85184
Take,flume,4,,,18232246.0,ns,87120
Take,flume,4,,,18775560.0,ns,89056
Take,flume,4,,,19311268.0,ns,90992
Take,flume,4,,,19669753.0,ns,92928
Take,flume,4,,,20065596.0,ns,94864
Take,flume,4,,,20339688.0,ns,96800
