group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,flume,512,,,348004.0,ns,35
Take,flume,512,,,690166.0,ns,70
Take,flume,512,,,1031370.0,ns,105
Take,flume,512,,,1388233.0,ns,140
Take,flume,512,,,1739025.0,ns,175
Take,flume,512,,,2064720.0,ns,210
Take,flume,512,,,2394800.0,ns,245
Take,flume,512,,,2789424.0,ns,280
Take,flume,512,,,3150770.0,ns,315
Take,flume,512,,,3458741.0,ns,350
Take,flume,512,,,3847111.0,ns,385
Take,flume,512,,,4163171.0,ns,420
Take,flume,512,,,4535054.0,ns,455
Take,flume,512,,,4907840.0,ns,490
Take,flume,512,,,5207587.0,ns,525
Take,flume,512,,,5533034.0,ns,560
Take,flume,512,,,5932982.0,ns,595
Take,flume,512,,,6244765.0,ns,630
Take,flume,512,,,6611288.0,ns,665
Take,flume,512,,,6942637.0,ns,700
Take,flume,512,,,7342081.0,ns,735
Take,flume,512,,,7696010.0,ns,770
Take,flume,512,,,7987372.0,ns,805
Take,flume,512,,,8423366.0,ns,840
Take,flume,512,,,8742287.0,ns,875
Take,flume,512,,,8974253.0,ns,910
Take,flume,512,,,9348129.0,ns,945
Take,flume,512,,,9700060.0,ns,980
Take,flume,512,,,10087609.0,ns,1015
Take,flume,512,,,10459916.0,ns,1050
Take,flume,512,,,10761939.0,ns,1085
Take,flume,512,,,11145852.0,ns,1120
Take,flume,512,,,11520121.0,ns,1155
Take,flume,512,,,11871248.0,ns,1190
Take,flume,512,,,12158326.0,ns,1225
Take,flume,512,,,12500274.0,ns,1260
Take,flume,512,,,12875155.0,ns,1295
Take,flume,512,,,13368282.0,ns,1330
Take,flume,512,,,13623688.0,ns,1365
Take,flume,512,,,13946042.0,ns,1400
Take,flume,512,,,14273392.0,ns,1435
Take,flume,512,,,14643238.0,ns,1470
Take,flume,512,,,15031996.0,ns,1505
Take,flume,512,,,15619217.0,ns,1540
Take,flume,512,,,15687810.0,ns,1575
Take,flume,512,,,16083336.0,ns,1610
Take,flume,512,,,16391923.0,ns,1645
Take,flume,512,,,16725179.0,ns,1680
Take,flume,512,,,17171889.0,ns,1715
Take,flume,512,,,17498230.0,ns,1750
