group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,flume,64,,,343713.0,ns,230
Take,flume,64,,,759521.0,ns,460
Take,flume,64,,,1049897.0,ns,690
Take,flume,64,,,1408975.0,ns,920
Take,flume,64,,,1766316.0,ns,1150
Take,flume,64,,,2144415.0,ns,1380
Take,flume,64,,,2543633.0,ns,1610
Take,flume,64,,,2842061.0,ns,1840
Take,flume,64,,,3234429.0,ns,2070
Take,flume,64,,,3540259.0,ns,2300
Take,flume,64,,,3898144.0,ns,2530
Take,flume,64,,,4330520.0,ns,2760
Take,flume,64,,,4667955.0,ns,2990
Take,flume,64,,,5050927.0,ns,3220
Take,flume,64,,,5436481.0,ns,3450
Take,flume,64,,,5745118.0,ns,3680
Take,flume,64,,,6106557.0,ns,3910
Take,flume,64,,,6515828.0,ns,4140
Take,flume,64,,,6818280.0,ns,4370
Take,flume,64,,,7173887.0,ns,4600
Take,flume,64,,,7612964.0,ns,4830
Take,flume,64,,,7955675.0,ns,5060
Take,flume,64,,,8317369.0,ns,5290
Take,flume,64,,,8678114.0,ns,5520
Take,flume,64,,,8955044.0,ns,5750
Take,flume,64,,,9430203.0,ns,5980
Take,flume,64,,,9708830.0,ns,6210
Take,flume,64,,,10167526.0,ns,6440
Take,flume,64,,,10516546.0,ns,6670
Take,flume,64,,,10825338.0,ns,6900
Take,flume,64,,,11163608.0,ns,7130
Take,flume,64,,,11476918.0,ns,7360
Take,flume,64,,,11986683.0,ns,7590
Take,flume,64,,,12208318.0,ns,7820
Take,flume,64,,,12670184.0,ns,8050
Take,flume,64,,,12949050.0,ns,8280
Take,flume,64,,,13422529.0,ns,8510
Take,flume,64,,,13687917.0,ns,8740
Take,flume,64,,,14103743.0,ns,8970
Take,flume,64,,,14658061.0,ns,9200
Take,flume,64,,,15065839.0,ns,9430
Take,flume,64,,,15338682.0,ns,9660
Take,flume,64,,,15625533.0,ns,9890
Take,flume,64,,,16058603.0,ns,10120
Take,flume,64,,,16390868.0,ns,10350
Take,flume,64,,,16801255.0,ns,10580
Take,flume,64,,,17189289.0,ns,10810
Take,flume,64,,,17567812.0,ns,11040
Take,flume,64,,,17837048.0,ns,11270
Take,flume,64,,,18232959.0,ns,11500
