group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,swap-queue,1024,,,5516.0,ns,37
Take,swap-queue,1024,,,7080.0,ns,74
Take,swap-queue,1024,,,10686.0,ns,111
Take,swap-queue,1024,,,15620.0,ns,148
Take,swap-queue,1024,,,18014.0,ns,185
Take,swap-queue,1024,,,21637.0,ns,222
Take,swap-queue,1024,,,24959.0,ns,259
Take,swap-queue,1024,,,30809.0,ns,296
Take,swap-queue,1024,,,34664.0,ns,333
Take,swap-queue,1024,,,35820.0,ns,370
Take,swap-queue,1024,,,39443.0,ns,407
Take,swap-queue,1024,,,43221.0,ns,444
Take,swap-queue,1024,,,46586.0,ns,481
Take,swap-queue,1024,,,53504.0,ns,518
Take,swap-queue,1024,,,53675.0,ns,555
Take,swap-queue,1024,,,62636.0,ns,592
Take,swap-queue,1024,,,62929.0,ns,629
Take,swap-queue,1024,,,69190.0,ns,666
Take,swap-queue,1024,,,68062.0,ns,703
Take,swap-queue,1024,,,71385.0,ns,740
Take,swap-queue,1024,,,77380.0,ns,777
Take,swap-queue,1024,,,88230.0,ns,814
Take,swap-queue,1024,,,82557.0,ns,851
Take,swap-queue,1024,,,86064.0,ns,888
Take,swap-queue,1024,,,91891.0,ns,925
Take,swap-queue,1024,,,95340.0,ns,962
Take,swap-queue,1024,,,96878.0,ns,999
Take,swap-queue,1024,,,102145.0,ns,1036
Take,swap-queue,1024,,,106027.0,ns,1073
Take,swap-queue,1024,,,112636.0,ns,1110
Take,swap-queue,1024,,,113018.0,ns,1147
Take,swap-queue,1024,,,119126.0,ns,1184
Take,swap-queue,1024,,,118301.0,ns,1221
Take,swap-queue,1024,,,121669.0,ns,1258
Take,swap-queue,1024,,,129733.0,ns,1295
Take,swap-queue,1024,,,128879.0,ns,1332
Take,swap-queue,1024,,,137369.0,ns,1369
Take,swap-queue,1024,,,135902.0,ns,1406
Take,swap-queue,1024,,,147517.0,ns,1443
Take,swap-queue,1024,,,149817.0,ns,1480
Take,swap-queue,1024,,,148668.0,ns,1517
Take,swap-queue,1024,,,154764.0,ns,1554
Take,swap-queue,1024,,,154014.0,ns,1591
Take,swap-queue,1024,,,164433.0,ns,1628
Take,swap-queue,1024,,,168068.0,ns,1665
Take,swap-queue,1024,,,173478.0,ns,1702
Take,swap-queue,1024,,,176035.0,ns,1739
Take,swap-queue,1024,,,171760.0,ns,1776
Take,swap-queue,1024,,,180740.0,ns,1813
Take,swap-queue,1024,,,178653.0,ns,1850
