group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,swap-queue,2,,,63434.0,ns,587
Take,swap-queue,2,,,116760.0,ns,1174
Take,swap-queue,2,,,192942.0,ns,1761
Take,swap-queue,2,,,245628.0,ns,2348
Take,swap-queue,2,,,313589.0,ns,2935
Take,swap-queue,2,,,373432.0,ns,3522
Take,swap-queue,2,,,486085.0,ns,4109
Take,swap-queue,2,,,539567.0,ns,4696
Take,swap-queue,2,,,603475.0,ns,5283
Take,swap-queue,2,,,701422.0,ns,5870
Take,swap-queue,2,,,812090.0,ns,6457
Take,swap-queue,2,,,924910.0,ns,7044
Take,swap-queue,2,,,1020697.0,ns,7631
Take,swap-queue,2,,,1137868.0,ns,8218
Take,swap-queue,2,,,1265798.0,ns,8805
Take,swap-queue,2,,,1361545.0,ns,9392
Take,swap-queue,2,,,1524187.0,ns,9979
Take,swap-queue,2,,,1647501.0,ns,10566
Take,swap-queue,2,,,1762700.0,ns,11153
Take,swap-queue,2,,,1889747.0,ns,11740
Take,swap-queue,2,,,2038745.0,ns,12327
Take,swap-queue,2,,,2134441.0,ns,12914
Take,swap-queue,2,,,2251848.0,ns,13501
Take,swap-queue,2,,,2550497.0,ns,14088
Take,swap-queue,2,,,2658186.0,ns,14675
Take,swap-queue,2,,,2752373.0,ns,15262
Take,swap-queue,2,,,2863453.0,ns,15849
Take,swap-queue,2,,,2996721.0,ns,16436
Take,swap-queue,2,,,3129889.0,ns,17023
Take,swap-queue,2,,,3241676.0,ns,17610
Take,swap-queue,2,,,3309138.0,ns,18197
Take,swap-queue,2,,,3432412.0,ns,18784
Take,swap-queue,2,,,3548088.0,ns,19371
Take,swap-queue,2,,,3656124.0,ns,19958
Take,swap-queue,2,,,3779528.0,ns,20545
Take,swap-queue,2,,,3911778.0,ns,21132
Take,swap-queue,2,,,4020314.0,ns,21719
Take,swap-queue,2,,,4123619.0,ns,22306
Take,swap-queue,2,,,4267081.0,ns,22893
Take,swap-queue,2,,,4310421.0,ns,23480
Take,swap-queue,2,,,4424972.0,ns,24067
Take,swap-queue,2,,,4544282.0,ns,24654
Take,swap-queue,2,,,4662248.0,ns,25241
Take,swap-queue,2,,,4765008.0,ns,25828
Take,swap-queue,2,,,4877607.0,ns,26415
Take,swap-queue,2,,,4979976.0,ns,27002
Take,swap-queue,2,,,5111237.0,ns,27589
Take,swap-queue,2,,,5165523.0,ns,28176
Take,swap-queue,2,,,5309157.0,ns,28763
Take,swap-queue,2,,,5387027.0,ns,29350
