group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,swap-queue,4096,,,1090.0,ns,11
Take,swap-queue,4096,,,2168.0,ns,22
Take,swap-queue,4096,,,3351.0,ns,33
Take,swap-queue,4096,,,4452.0,ns,44
Take,swap-queue,4096,,,5955.0,ns,55
Take,swap-queue,4096,,,8427.0,ns,66
Take,swap-queue,4096,,,7601.0,ns,77
Take,swap-queue,4096,,,8697.0,ns,88
Take,swap-queue,4096,,,9654.0,ns,99
Take,swap-queue,4096,,,10695.0,ns,110
Take,swap-queue,4096,,,11728.0,ns,121
Take,swap-queue,4096,,,13210.0,ns,132
Take,swap-queue,4096,,,13845.0,ns,143
Take,swap-queue,4096,,,15065.0,ns,154
Take,swap-queue,4096,,,16141.0,ns,165
Take,swap-queue,4096,,,17191.0,ns,176
Take,swap-queue,4096,,,18227.0,ns,187
Take,swap-queue,4096,,,19405.0,ns,198
Take,swap-queue,4096,,,20542.0,ns,209
Take,swap-queue,4096,,,21380.0,ns,220
Take,swap-queue,4096,,,22599.0,ns,231
Take,swap-queue,4096,,,23578.0,ns,242
Take,swap-queue,4096,,,24600.0,ns,253
Take,swap-queue,4096,,,25808.0,ns,264
Take,swap-queue,4096,,,26725.0,ns,275
Take,swap-queue,4096,,,27883.0,ns,286
Take,swap-queue,4096,,,29055.0,ns,297
Take,swap-queue,4096,,,29966.0,ns,308
Take,swap-queue,4096,,,31137.0,ns,319
Take,swap-queue,4096,,,32181.0,ns,330
Take,swap-queue,4096,,,33175.0,ns,341
Take,swap-queue,4096,,,34252.0,ns,352
Take,swap-queue,4096,,,35302.0,ns,363
Take,swap-queue,4096,,,36440.0,ns,374
Take,swap-queue,4096,,,37548.0,ns,385
Take,swap-queue,4096,,,38628.0,ns,396
Take,swap-queue,4096,,,39599.0,ns,407
Take,swap-queue,4096,,,40797.0,ns,418
Take,swap-queue,4096,,,41782.0,ns,429
Take,swap-queue,4096,,,42952.0,ns,440
Take,swap-queue,4096,,,44103.0,ns,451
Take,swap-queue,4096,,,45246.0,ns,462
Take,swap-queue,4096,,,46311.0,ns,473
Take,swap-queue,4096,,,49419.0,ns,484
Take,swap-queue,4096,,,54566.0,ns,495
Take,swap-queue,4096,,,51864.0,ns,506
Take,swap-queue,4096,,,50657.0,ns,517
Take,swap-queue,4096,,,51767.0,ns,528
Take,swap-queue,4096,,,52706.0,ns,539
Take,swap-queue,4096,,,53734.0,ns,550
