group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,swap_queue,4096,,,1511.0,ns,11
Take,swap_queue,4096,,,4857.0,ns,22
Take,swap_queue,4096,,,3708.0,ns,33
Take,swap_queue,4096,,,5167.0,ns,44
Take,swap_queue,4096,,,5908.0,ns,55
Take,swap_queue,4096,,,6891.0,ns,66
Take,swap_queue,4096,,,8007.0,ns,77
Take,swap_queue,4096,,,9175.0,ns,88
Take,swap_queue,4096,,,10332.0,ns,99
Take,swap_queue,4096,,,11200.0,ns,110
Take,swap_queue,4096,,,12414.0,ns,121
Take,swap_queue,4096,,,13621.0,ns,132
Take,swap_queue,4096,,,14762.0,ns,143
Take,swap_queue,4096,,,15483.0,ns,154
Take,swap_queue,4096,,,17479.0,ns,165
Take,swap_queue,4096,,,21341.0,ns,176
Take,swap_queue,4096,,,21761.0,ns,187
Take,swap_queue,4096,,,24690.0,ns,198
Take,swap_queue,4096,,,25179.0,ns,209
Take,swap_queue,4096,,,25904.0,ns,220
Take,swap_queue,4096,,,32542.0,ns,231
Take,swap_queue,4096,,,34863.0,ns,242
Take,swap_queue,4096,,,34454.0,ns,253
Take,swap_queue,4096,,,35652.0,ns,264
Take,swap_queue,4096,,,36723.0,ns,275
Take,swap_queue,4096,,,38514.0,ns,286
Take,swap_queue,4096,,,43759.0,ns,297
Take,swap_queue,4096,,,45448.0,ns,308
Take,swap_queue,4096,,,42488.0,ns,319
Take,swap_queue,4096,,,45893.0,ns,330
Take,swap_queue,4096,,,47457.0,ns,341
Take,swap_queue,4096,,,54225.0,ns,352
Take,swap_queue,4096,,,51489.0,ns,363
Take,swap_queue,4096,,,52405.0,ns,374
Take,swap_queue,4096,,,54055.0,ns,385
Take,swap_queue,4096,,,55259.0,ns,396
Take,swap_queue,4096,,,59519.0,ns,407
Take,swap_queue,4096,,,56822.0,ns,418
Take,swap_queue,4096,,,61597.0,ns,429
Take,swap_queue,4096,,,68046.0,ns,440
Take,swap_queue,4096,,,65023.0,ns,451
Take,swap_queue,4096,,,66840.0,ns,462
Take,swap_queue,4096,,,72198.0,ns,473
Take,swap_queue,4096,,,74451.0,ns,484
Take,swap_queue,4096,,,71867.0,ns,495
Take,swap_queue,4096,,,69200.0,ns,506
Take,swap_queue,4096,,,70598.0,ns,517
Take,swap_queue,4096,,,77234.0,ns,528
Take,swap_queue,4096,,,85918.0,ns,539
Take,swap_queue,4096,,,82691.0,ns,550
