group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,swap_queue,64,,,53630.0,ns,465
Take,swap_queue,64,,,107591.0,ns,930
Take,swap_queue,64,,,162313.0,ns,1395
Take,swap_queue,64,,,224836.0,ns,1860
Take,swap_queue,64,,,296026.0,ns,2325
Take,swap_queue,64,,,356224.0,ns,2790
Take,swap_queue,64,,,427173.0,ns,3255
Take,swap_queue,64,,,503480.0,ns,3720
Take,swap_queue,64,,,543844.0,ns,4185
Take,swap_queue,64,,,623382.0,ns,4650
Take,swap_queue,64,,,718669.0,ns,5115
Take,swap_queue,64,,,790233.0,ns,5580
Take,swap_queue,64,,,847087.0,ns,6045
Take,swap_queue,64,,,939712.0,ns,6510
Take,swap_queue,64,,,1028516.0,ns,6975
Take,swap_queue,64,,,1119259.0,ns,7440
Take,swap_queue,64,,,1203787.0,ns,7905
Take,swap_queue,64,,,1303364.0,ns,8370
Take,swap_queue,64,,,1428177.0,ns,8835
Take,swap_queue,64,,,1515546.0,ns,9300
Take,swap_queue,64,,,1586242.0,ns,9765
Take,swap_queue,64,,,1693852.0,ns,10230
Take,swap_queue,64,,,1826215.0,ns,10695
Take,swap_queue,64,,,1891069.0,ns,11160
Take,swap_queue,64,,,2022096.0,ns,11625
Take,swap_queue,64,,,2132109.0,ns,12090
Take,swap_queue,64,,,2224516.0,ns,12555
Take,swap_queue,64,,,2334305.0,ns,13020
Take,swap_queue,64,,,2443715.0,ns,13485
Take,swap_queue,64,,,2515787.0,ns,13950
Take,swap_queue,64,,,2607923.0,ns,14415
Take,swap_queue,64,,,2695487.0,ns,14880
Take,swap_queue,64,,,2792373.0,ns,15345
Take,swap_queue,64,,,2917221.0,ns,15810
Take,swap_queue,64,,,2981056.0,ns,16275
Take,swap_queue,64,,,3067154.0,ns,16740
Take,swap_queue,64,,,3208413.0,ns,17205
Take,swap_queue,64,,,3341588.0,ns,17670
Take,swap_queue,64,,,3395817.0,ns,18135
Take,swap_queue,64,,,3477154.0,ns,18600
Take,swap_queue,64,,,3589171.0,ns,19065
Take,swap_queue,64,,,3680221.0,ns,19530
Take,swap_queue,64,,,3745255.0,ns,19995
Take,swap_queue,64,,,3891560.0,ns,20460
Take,swap_queue,64,,,3982119.0,ns,20925
Take,swap_queue,64,,,4052521.0,ns,21390
Take,swap_queue,64,,,4140233.0,ns,21855
Take,swap_queue,64,,,4231529.0,ns,22320
Take,swap_queue,64,,,4370204.0,ns,22785
Take,swap_queue,64,,,4419476.0,ns,23250
