group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,tokio::mpsc,1,,,375020.0,ns,2665
Take,tokio::mpsc,1,,,738498.0,ns,5330
Take,tokio::mpsc,1,,,1088305.0,ns,7995
Take,tokio::mpsc,1,,,1473318.0,ns,10660
Take,tokio::mpsc,1,,,1836457.0,ns,13325
Take,tokio::mpsc,1,,,2227459.0,ns,15990
Take,tokio::mpsc,1,,,2563741.0,ns,18655
Take,tokio::mpsc,1,,,2938781.0,ns,21320
Take,tokio::mpsc,1,,,3316643.0,ns,23985
Take,tokio::mpsc,1,,,3685226.0,ns,26650
Take,tokio::mpsc,1,,,4024561.0,ns,29315
Take,tokio::mpsc,1,,,4425745.0,ns,31980
Take,tokio::mpsc,1,,,4748191.0,ns,34645
Take,tokio::mpsc,1,,,5154943.0,ns,37310
Take,tokio::mpsc,1,,,5524606.0,ns,39975
Take,tokio::mpsc,1,,,5939675.0,ns,42640
Take,tokio::mpsc,1,,,6147413.0,ns,45305
Take,tokio::mpsc,1,,,6603931.0,ns,47970
Take,tokio::mpsc,1,,,6992677.0,ns,50635
Take,tokio::mpsc,1,,,7351045.0,ns,53300
Take,tokio::mpsc,1,,,7587629.0,ns,55965
Take,tokio::mpsc,1,,,7978294.0,ns,58630
Take,tokio::mpsc,1,,,8463010.0,ns,61295
Take,tokio::mpsc,1,,,8799462.0,ns,63960
Take,tokio::mpsc,1,,,9159043.0,ns,66625
Take,tokio::mpsc,1,,,9537941.0,ns,69290
Take,tokio::mpsc,1,,,9787783.0,ns,71955
Take,tokio::mpsc,1,,,10294428.0,ns,74620
Take,tokio::mpsc,1,,,10642632.0,ns,77285
Take,tokio::mpsc,1,,,10990125.0,ns,79950
Take,tokio::mpsc,1,,,11376075.0,ns,82615
Take,tokio::mpsc,1,,,11880764.0,ns,85280
Take,tokio::mpsc,1,,,12137437.0,ns,87945
Take,tokio::mpsc,1,,,12649236.0,ns,90610
Take,tokio::mpsc,1,,,13128824.0,ns,93275
Take,tokio::mpsc,1,,,13429938.0,ns,95940
Take,tokio::mpsc,1,,,13773430.0,ns,98605
Take,tokio::mpsc,1,,,14203824.0,ns,101270
Take,tokio::mpsc,1,,,14370355.0,ns,103935
Take,tokio::mpsc,1,,,14900174.0,ns,106600
Take,tokio::mpsc,1,,,15222960.0,ns,109265
Take,tokio::mpsc,1,,,15606878.0,ns,111930
Take,tokio::mpsc,1,,,15984852.0,ns,114595
Take,tokio::mpsc,1,,,16302825.0,ns,117260
Take,tokio::mpsc,1,,,16681584.0,ns,119925
Take,tokio::mpsc,1,,,16506436.0,ns,122590
Take,tokio::mpsc,1,,,17453684.0,ns,125255
Take,tokio::mpsc,1,,,17778733.0,ns,127920
Take,tokio::mpsc,1,,,18101394.0,ns,130585
Take,tokio::mpsc,1,,,18406010.0,ns,133250
