group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,tokio::mpsc,32,,,263056.0,ns,354
Take,tokio::mpsc,32,,,499314.0,ns,708
Take,tokio::mpsc,32,,,770522.0,ns,1062
Take,tokio::mpsc,32,,,1016857.0,ns,1416
Take,tokio::mpsc,32,,,1293164.0,ns,1770
Take,tokio::mpsc,32,,,1578889.0,ns,2124
Take,tokio::mpsc,32,,,1846753.0,ns,2478
Take,tokio::mpsc,32,,,2120499.0,ns,2832
Take,tokio::mpsc,32,,,2395131.0,ns,3186
Take,tokio::mpsc,32,,,2669399.0,ns,3540
Take,tokio::mpsc,32,,,2929535.0,ns,3894
Take,tokio::mpsc,32,,,3218887.0,ns,4248
Take,tokio::mpsc,32,,,3482518.0,ns,4602
Take,tokio::mpsc,32,,,3708779.0,ns,4956
Take,tokio::mpsc,32,,,4034474.0,ns,5310
Take,tokio::mpsc,32,,,4280198.0,ns,5664
Take,tokio::mpsc,32,,,4567196.0,ns,6018
Take,tokio::mpsc,32,,,4780534.0,ns,6372
Take,tokio::mpsc,32,,,5026261.0,ns,6726
Take,tokio::mpsc,32,,,5306007.0,ns,7080
Take,tokio::mpsc,32,,,5606314.0,ns,7434
Take,tokio::mpsc,32,,,5866554.0,ns,7788
Take,tokio::mpsc,32,,,6114346.0,ns,8142
Take,tokio::mpsc,32,,,6324644.0,ns,8496
Take,tokio::mpsc,32,,,6713030.0,ns,8850
Take,tokio::mpsc,32,,,7011449.0,ns,9204
Take,tokio::mpsc,32,,,7457460.0,ns,9558
Take,tokio::mpsc,32,,,7507627.0,ns,9912
Take,tokio::mpsc,32,,,7593658.0,ns,10266
Take,tokio::mpsc,32,,,7821865.0,ns,10620
Take,tokio::mpsc,32,,,8079923.0,ns,10974
Take,tokio::mpsc,32,,,8301660.0,ns,11328
Take,tokio::mpsc,32,,,8590056.0,ns,11682
Take,tokio::mpsc,32,,,8837647.0,ns,12036
Take,tokio::mpsc,32,,,9099863.0,ns,12390
Take,tokio::mpsc,32,,,9473649.0,ns,12744
Take,tokio::mpsc,32,,,9700353.0,ns,13098
Take,tokio::mpsc,32,,,9935020.0,ns,13452
Take,tokio::mpsc,32,,,10181068.0,ns,13806
Take,tokio::mpsc,32,,,10410341.0,ns,14160
Take,tokio::mpsc,32,,,10781597.0,ns,14514
Take,tokio::mpsc,32,,,11212025.0,ns,14868
Take,tokio::mpsc,32,,,11608267.0,ns,15222
Take,tokio::mpsc,32,,,11932949.0,ns,15576
Take,tokio::mpsc,32,,,12195546.0,ns,15930
Take,tokio::mpsc,32,,,12305124.0,ns,16284
Take,tokio::mpsc,32,,,12698556.0,ns,16638
Take,tokio::mpsc,32,,,13005303.0,ns,16992
Take,tokio::mpsc,32,,,13139772.0,ns,17346
Take,tokio::mpsc,32,,,13493645.0,ns,17700
