group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Take,tokio::mpsc,4,,,323853.0,ns,1423
Take,tokio::mpsc,4,,,699262.0,ns,2846
Take,tokio::mpsc,4,,,1105775.0,ns,4269
Take,tokio::mpsc,4,,,1492507.0,ns,5692
Take,tokio::mpsc,4,,,1894815.0,ns,7115
Take,tokio::mpsc,4,,,2247887.0,ns,8538
Take,tokio::mpsc,4,,,2582336.0,ns,9961
Take,tokio::mpsc,4,,,3034347.0,ns,11384
Take,tokio::mpsc,4,,,3314224.0,ns,12807
Take,tokio::mpsc,4,,,3844860.0,ns,14230
Take,tokio::mpsc,4,,,4209497.0,ns,15653
Take,tokio::mpsc,4,,,4606572.0,ns,17076
Take,tokio::mpsc,4,,,5258402.0,ns,18499
Take,tokio::mpsc,4,,,5490336.0,ns,19922
Take,tokio::mpsc,4,,,5904141.0,ns,21345
Take,tokio::mpsc,4,,,6293907.0,ns,22768
Take,tokio::mpsc,4,,,6575097.0,ns,24191
Take,tokio::mpsc,4,,,6990707.0,ns,25614
Take,tokio::mpsc,4,,,7357363.0,ns,27037
Take,tokio::mpsc,4,,,7872738.0,ns,28460
Take,tokio::mpsc,4,,,8289811.0,ns,29883
Take,tokio::mpsc,4,,,8831248.0,ns,31306
Take,tokio::mpsc,4,,,9105077.0,ns,32729
Take,tokio::mpsc,4,,,9476420.0,ns,34152
Take,tokio::mpsc,4,,,9906123.0,ns,35575
Take,tokio::mpsc,4,,,10315031.0,ns,36998
Take,tokio::mpsc,4,,,10719548.0,ns,38421
Take,tokio::mpsc,4,,,11174705.0,ns,39844
Take,tokio::mpsc,4,,,11519373.0,ns,41267
Take,tokio::mpsc,4,,,12225579.0,ns,42690
Take,tokio::mpsc,4,,,12845021.0,ns,44113
Take,tokio::mpsc,4,,,13084591.0,ns,45536
Take,tokio::mpsc,4,,,13586275.0,ns,46959
Take,tokio::mpsc,4,,,14033879.0,ns,48382
Take,tokio::mpsc,4,,,14453684.0,ns,49805
Take,tokio::mpsc,4,,,14722662.0,ns,51228
Take,tokio::mpsc,4,,,14615137.0,ns,52651
Take,tokio::mpsc,4,,,15220000.0,ns,54074
Take,tokio::mpsc,4,,,15383605.0,ns,55497
Take,tokio::mpsc,4,,,15912582.0,ns,56920
Take,tokio::mpsc,4,,,16400668.0,ns,58343
Take,tokio::mpsc,4,,,16581591.0,ns,59766
Take,tokio::mpsc,4,,,17080787.0,ns,61189
Take,tokio::mpsc,4,,,17537498.0,ns,62612
Take,tokio::mpsc,4,,,18015551.0,ns,64035
Take,tokio::mpsc,4,,,18370005.0,ns,65458
Take,tokio::mpsc,4,,,18692819.0,ns,66881
Take,tokio::mpsc,4,,,19146264.0,ns,68304
Take,tokio::mpsc,4,,,19698432.0,ns,69727
Take,tokio::mpsc,4,,,20318460.0,ns,71150
